Date and Time Downloaded : 04/20/2020 11:09:10 pm"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000000034","34","TIPO-TIPO MAIN HEALTH CENTER"," "," "," ","Barangay Health Station","Government","National Government"," "," "," ","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","BASILAN","150700000","TIPO-TIPO","150706000"," "," ","7304"," "," "," "," "," "," "," "," "," "," ","","",""
"DOH000000000000052","52","SIMUNUL RURAL HEALTH UNIT","","","","Rural Health Unit","Government","National Government","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","TAWI-TAWI","157000000","SIMUNUL","157004000","TUBIG INDANGAN","157004006","7505","","","","RHUSIMUNUL@GMAIL.COM","","","SARANI","FAUZUDDIN","UTUNAIN","Public Health Nurse","","",""
"DOH000000000000057","57","GENERAL SALIPADA K. PENDATUN RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","National Government"," "," "," ","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","MAGUINDANAO","153800000","GEN. S.K. PENDATUN","153819000","BADAK","153819001","9618"," "," "," "," "," "," ","MASUKAT","RENALYN","DUREMDES","Municipal Health Officer","","",""
"DOH000000000000103","103","TUGAYA RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","National Government"," "," "," ","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","LANAO DEL SUR","153600000","TUGAYA","153629000"," "," ","9317"," "," "," "," "," "," "," "," "," "," ","","",""
"DOH000000000000118","118","BUADIPOSO BUNTONG RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","National Government"," "," "," ","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","LANAO DEL SUR","153600000","BUADIPOSO-BUNTONG","153633000"," "," ","9714"," "," "," "," "," "," "," "," "," "," ","","",""
"DOH000000000000129","129","TALITAY RURAL HEALTH UNIT","SULTAN SUMAGKA RURAL HEALTH UNIT","","","Rural Health Unit","Government","National Government","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","MAGUINDANAO","153800000","TALITAY","153821000","TALITAY","153821012","9612","","","","talitayrhu@gmail.com","","","PANDITA","BAI SHARIFFAH","BALABADAN","Municipal Health Officer","","",""
"DOH000000000000150","150","MALUSO RURAL HEALTH UNIT","","","","Rural Health Unit","Government","National Government","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","BASILAN","150700000","MALUSO","150704000","TOWNSITE (POB.)","150704013","7303","","","","MALUSORHU@YAHOO.COM","","","CAMUAN","JINNATHZ","SAHIPA","Public Health Nurse","","",""
"DOH000000000000421","421","BALINDONG MUNICIPAL HOSPITAL","","","","Hospital","Government","National Government","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","LANAO DEL SUR","153600000","BALINDONG (WATU)","153603000","SALIPONGAN","153603047","9318","","","","","","","MINALANG","ALINADER","M.","Chief of Hospital","With License","Level 1","10"
"DOH000000000000438","438","BULUAN DISTRICT HOSPITAL","","","","Hospital","Government","National Government","","NATIONAL HIGHWAY","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","MAGUINDANAO","153800000","BULUAN","153803000","POBLACION","153803039","9616","","","","","","","SAMAMA","ELIZABETH","ABPI","Chief of Hospital","With License","Level 1","100"
"DOH000000000000465","465","DATU HALUN SAKILAN MEMORIAL HOSPITAL","","","","Hospital","Government","National Government","","LAMION STREET","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","TAWI-TAWI","157000000","BONGAO (Capital)","157002000","","","7500","","","","","","","LAJA","SANGKULA","G.","Chief of Hospital","With License","Level 1","50"
"DOH000000000000500","500","DR. JOSE MA. TORRES MEMORIAL FOUNDATION HOSPITAL, INC.","","","","Hospital","Private","","","DR. JOSE TORRES STREET","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","BASILAN","150700000","CITY OF LAMITAN (Capital)","150702000","","","7302","","","","","","","GUILLO","SEFREDO","B.","Medical Director","With License","Level 1",""
"DOH000000000000529","529","DR. SERAPIO MONTAÑER JR. AL-HAJ MEMORIAL HOSPITAL","MALABANG DISTRICT HOSPITAL","","","Hospital","Government","National Government","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","LANAO DEL SUR","153600000","MALABANG","153615000","MABLE","153615038","9300","","","","","","","MONTAÑER","ROMEO","G.","Medical Director","With License","Level 1","25"
"DOH000000000000594","594","LANGUYAN MUNICIPAL HOSPITAL","","","","Infirmary","Government","National Government","","DARUL, AKRAM","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","TAWI-TAWI","157000000","LANGUYAN","157009000","","","7509","","","","","","","WEE","LEONARD","D.","Chief of Hospital","With License","","10"
"DOH000000000000632","632","MAGUINDANAO PROVINCIAL HOSPITAL","","","","Hospital","Government","National Government","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","MAGUINDANAO","153800000","DATU HOFFER AMPATUAN","153835000","","","","","","","","","","SULAIK","TAHIR","B.","Medical Director","With License","Level 2","299"
"DOH000000000000671","671","MINDALANO SPECIALIST HOSPITAL FOUNDATION, INC.","MINDALANO MEDICAL SPECIALIST HOSPITAL","","","Hospital","Private","","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","LANAO DEL SUR","153600000","MARAWI CITY (Capital)","153617000","PANGGAO SADUC","153617090","9700","","","","","","","MINDALANO","TAHIR","D.","Medical Director","With License","Level 1","50"
"DOH000000000000696","696","PANGUTARAN DISTRICT HOSPITAL","","","","Hospital","Government","National Government","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","SULU","156600000","PANGUTARAN","156608000","SIMBAHAN (POB.)","156608013","7414","","","","","","","BAHJIN-JALANI","EMELYN","Q.","Chief of Hospital","With License","Level 1","25"
"DOH000000000000751","751","SMD GENERAL HOSPITAL","","","","Hospital","Private","","","MENOR STREET, PANGARUNGAN VILLAGE","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","LANAO DEL SUR","153600000","MARAWI CITY (Capital)","153617000","","","9700","","","","","","","DIPATUAN","SAFFRULLAH","M.","Medical Director","With License","Level 1","50"
"DOH000000000000808","808","TAMPARAN RURAL HEALTH UNIT","","","","Rural Health Unit","Government","National Government","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","LANAO DEL SUR","153600000","TAMPARAN","153626000","POBLACION II","153626038","9704","","","","tamparanrhulds@gmail.com","","","MACARAMBON","OMAIRAH","DIMARONSING","Municipal Health Officer","","",""
"DOH000000000000868","868","MARAWI CITY HEALTH OFFICE","","","","Rural Health Unit","Government","National Government","","CITY HALL COMPOUND","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","LANAO DEL SUR","153600000","MARAWI CITY (Capital)","153617000","FORT","153617045","9700","","","","csmacapaar@yahoo.com","","","MACAPAAR","CABIBA","S.","City Health Officer","","",""
"DOH000000000000877","877","PAGAYAWAN RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","National Government"," "," "," ","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","LANAO DEL SUR","153600000","PAGAYAWAN (TATARIKAN)","153620000"," "," ","9312"," "," "," "," "," "," "," "," "," "," ","","",""
"DOH000000000000884","884","PUALAS RURAL HEALTH UNIT","","","","Rural Health Unit","Government","National Government","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","LANAO DEL SUR","153600000","PUALAS","153623000","TAMBO (POB.)","153623033","9313","","","","","","","ISMAIL","MORSHIDA","ABBAS","Rural Health Physician","","",""
"DOH000000000001416","1416","KABUNTALAN RURAL HEALTH UNIT","","","","Rural Health Unit","Government","National Government","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","MAGUINDANAO","153800000","KABUNTALAN (TUMBAO)","153814000","LOWER TAVIRAN","153814028","9606","","","","rhukabuntalan@gmail.com","","","GALAEZ","RONALD","P.","Municipal Health Officer","","",""
"DOH000000000001427","1427","TALAYAN RURAL HEALTH UNIT","","","","Rural Health Unit","Government","National Government","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","MAGUINDANAO","153800000","TALAYAN","153816000","TALAYAN","153816033","9612","","","","rhutalayan@gmail.com","","","ABPI","JACKIELINE","MILANES","Municipal Health Officer","","",""
"DOH000000000001442","1442","LUGUS RURAL HEALTH UNIT","","","","Rural Health Unit","Government","National Government","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","SULU","156600000","LUGUS","156617000","LUGUS PROPER","156617011","7411","","","","h.s.alamia@gmail.com","","","ALAMIA","HILDA","SALIH","Public Health Nurse","","",""
"DOH000000000001443","1443","PATA RURAL HEALTH UNIT","","","","Rural Health Unit","Government","National Government","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","SULU","156600000","PATA","156610000","SAIMBANGON","156610013","7405","","","","","","","SUSIA","SOPHIA","HASHIM","Public Health Nurse","","",""
"DOH000000000001498","1498","TAGLIBI BARANGAY HEALTH STATION","PATIKUL RURAL HEALTH UNIT","","","Barangay Health Station","Government","National Government","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","SULU","156600000","PATIKUL","156611000","TAGLIBI (POB.)","156611023","7401","","","","","","","BUCLAW","PLOSERPIDA","B.","Rural Health Midwife","","",""
"DOH000000000001500","1500","TAPUL RURAL HEALTH UNIT","","","","Rural Health Unit","Government","National Government","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","SULU","156600000","TAPUL","156614000","KALANG (POB.)","156614014","7410","","","","","","","IDRIS","RHADZJHAFATNIE","S.","Public Health Nurse","","",""
"DOH000000000001507","1507","PARANG RURAL HEALTH UNIT","","","","Rural Health Unit","Government","National Government","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","SULU","156600000","PARANG","156609000","POBLACION (PARANG)","156609035","7408","","","","","","","ABDURAJAN","YASMIN","APION","Municipal Health Officer","","",""
"DOH000000000001508","1508","TONGKIL RURAL HEALTH UNIT","","","","Rural Health Unit","Government","National Government","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","SULU","156600000","TONGKIL","156615000","DUNGON","156615004","7406","","","","whengundug@yahoo.com","","","UNDUG","WILMA","HARADJI","Rural Health Midwife","","",""
"DOH000000000001509","1509","SIASI RURAL HEALTH UNIT","","","","Rural Health Unit","Government","National Government","","POBLACION","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","SULU","156600000","SIASI","156612000","POBLACION (CAMPO BARO)","156612009","7412","","","","","","","IMLAN","EJIL","ANNI","Municipal Health Officer","","",""
"DOH000000000001510","1510","PANGUTARAN RURAL HEALTH UNIT","","","","Rural Health Unit","Government","National Government","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","SULU","156600000","PANGUTARAN","156608000","SIMBAHAN (POB.)","156608013","7414","","","","","","","ESTURCO","ABDUL JAVAR","","Municipal Health Officer","","",""
"DOH000000000001515","1515","HADJI PANGLIMA TAHIL (BANGAS) RURAL HEALTH UNIT","PEACE AND DEVELOPMENT COMMUNITY BANGAS","","","Rural Health Unit","Government","National Government","","SITIO LIKUD","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","SULU","156600000","HADJI PANGLIMA TAHIL (MARUNGGAS)","156606000","BANGAS (POB.)","156606012","7413","","","","drausama2004@yahoo.com","","","USAMA","MARIA LILYBETH","TANTOCO","Municipal Health Officer","","",""
"DOH000000000001639","1639","INDANAN RURAL HEALTH UNIT","","","","Rural Health Unit","Government","National Government","","MAIN ROAD","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","SULU","156600000","INDANAN","156601000","KAJATIAN","156601011","7407","","","","aldrinindanan@yahoo.com","","","INDANAN","ALDRIN","BAKIL","Municipal Health Officer","","",""
"DOH000000000001790","1790","NORTHERN KABUNTALAN RURAL HEALTH UNIT","","","","Rural Health Unit","Government","National Government","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","MAGUINDANAO","153800000","NORTHERN KABUNTALAN","153834000","GAYONGA","153834003","9606","","","","rhunorthkabuntalan@gmail.com","rhunorthkab@rocketmail.com","","CANTERO","CLARISSA","BACLIG","Municipal Health Officer","","",""
"DOH000000000001812","1812","MAPANDI MEMORIAL HOSPITAL","","","","Infirmary","Private","","","048 BUANDA BOULEVARD","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","LANAO DEL SUR","153600000","MARAWI CITY (Capital)","153617000","LILOD SADUC","153617058","9700","","","","","","","MAPANDI, JR.","KHADAFFI","","Medical Director","With License","",""
"DOH000000000001886","1886","PIAGAPO RURAL HEALTH UNIT","","","","Rural Health Unit","Government","National Government","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","LANAO DEL SUR","153600000","PIAGAPO","153621000","ILIAN","153621040","9710","","","","piagaporhu@yahoo.com","","","LAWI","RASMIA","MAMANGCAO","Rural Health Physician","","",""
"DOH000000000001906","1906","GANASSI RURAL HEALTH UNIT","","","","Rural Health Unit","Government","National Government","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","LANAO DEL SUR","153600000","GANASSI","153609000","POBLACION","153609018","9311","","","","ganassirhu_@yahoo.com","","","AMATONDING","PINDAO","LANTO","Municipal Health Officer","","",""
"DOH000000000001968","1968","BAYANG RURAL HEALTH UNIT","","","","Rural Health Unit","Government","National Government","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","LANAO DEL SUR","153600000","BAYANG","153604000","MALIWANAG","153604024","9310","","","","","","","CAMAMA","SITTIE ATHENA JANIMA","LAO","Municipal Health Officer","","",""
"DOH000000000002039","2039","MAIMBUNG RURAL HEALTH UNIT","","","","Rural Health Unit","Government","National Government","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","SULU","156600000","MAIMBUNG","156605000","POBLACION (MAIMBUNG)","156605023","7409","","","","","","","","","","","","",""
"DOH000000000002065","2065","UNGKAYA PUKAN RURAL HEALTH UNIT","","","","Rural Health Unit","Government","National Government","","","","AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM)","150000000","BASILAN","150700000","UNGKAYA PUKAN","150711000","BOHE-PAHUH","150711002","7302","","","","RHUUNGKAYA@YAHOO.COM.PH","","","BARAHIM","JOY","TANGONAN","Municipal Health Officer","","",""
