Date and Time Downloaded : 04/20/2020 09:58:04 pm"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000000029","29","TINGLAYAN RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","","","CORDILLERA ADMINISTRA TIVE REGION (CAR)","140000000","KALINGA","143200000","TINGLAYAN","143215000","","","3804","","","","","","","LIW-AGAN","AITE CAREN","S.","Municipal Health Officer","","",""
"DOH000000000000033","33","KAPANGAN RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","","","CORDILLERA ADMINISTRA TIVE REGION (CAR)","140000000","BENGUET","141100000","KAPANGAN","141108000","LABUEG","141108011","2613","","","","KAPANGANRURALHEALTHUNIT@YAHOO.COM","","","LARUAN","LILIAN MARIE","AGUIERRE","Municipal Health Officer","","",""
"DOH000000000000046","46","TUBLAY RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","","","CORDILLERA ADMINISTRA TIVE REGION (CAR)","140000000","BENGUET","141100000","TUBLAY","141114000","CAPONGA (POB.)","141114006","2615","+63 744242665","","","MARCELATINOYAN@YAHOO.COM","","","TINOYAN","MARCELA","MATIAS","Municipal Health Officer","","",""
"DOH000000000000080","80","ATOK RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","KILOMETER 34","","CORDILLERA ADMINISTRA TIVE REGION (CAR)","140000000","BENGUET","141100000","ATOK","141101000","CALIKING","141101002","2612","","","","","","","PASKING","ALICE","CHAN","Municipal Health Officer","","",""
"DOH000000000000081","81","PEÑARRUBIA RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","","","CORDILLERA ADMINISTRA TIVE REGION (CAR)","140000000","ABRA","140100000","PE?ARRUBIA","140117000","POBLACION","140117006","2804","","","","gonzales.elsa30@yahoo.com","","","GONZALES","ELSA","D.","Municipal Health Officer","","",""
"DOH000000000000083","83","DANGLAS RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","","","CORDILLERA ADMINISTRA TIVE REGION (CAR)","140000000","ABRA","140100000","DANGLAS","140106000","CABARUAN","140106003","2825","","","","danglasRHU@gmail.com","","","LAMPAC","JOAN ROSE","G.","Other","","",""
"DOH000000000000084","84","LAMUT MUNICIPAL HEALTH OFFICE","","","","Rural Health Unit","Government","Local Government Unit","","PUBLIC MARKET","","CORDILLERA ADMINISTRA TIVE REGION (CAR)","140000000","IFUGAO","142700000","LAMUT","142705000","POBLACION WEST","142705018","3605","","","","rhodoramillano@gmail.com","","","MONTESA","RHODORA","MILLANO","Municipal Health Officer","","",""
"DOH000000000000085","85","AGUINALDO RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","PUROK 1","","CORDILLERA ADMINISTRA TIVE REGION (CAR)","140000000","IFUGAO","142700000","AGUINALDO","142708000","GALONOGON","142708006","3606","","","","dulnuan_virginia@yahoo.com","","","DULNUAN","VIRGINIA","LANNAON","Municipal Health Officer","","",""
"DOH000000000000121","121","TABUK RURAL HEALTH UNIT II","","","","Rural Health Unit","Government","Local Government Unit","","","","CORDILLERA ADMINISTRA TIVE REGION (CAR)","140000000","KALINGA","143200000","CITY OF TABUK (Capital)","143213000","CALANAN","143213012","3800","","","","joyceomengan@yahoo.com","","","OMENGAN","JOYCE","D.","Rural Health Midwife","","",""
"DOH000000000000142","142","PARACELIS MUNICIPAL HEALTH OFFICE","PARACELIS RURAL HEALTH UNIT","","","Rural Health Unit","Government","Local Government Unit","","","","CORDILLERA ADMINISTRA TIVE REGION (CAR)","140000000","MOUNTAIN PROVINCE","144400000","PARACELIS","144406000","POBLACION","144406009","2625","","","","","","","LIBAN","SUSAN","MANZANO","Municipal Health Officer","","",""
