Date and Time Downloaded : 04/20/2020 10:01:13 pm"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000000001","1","PIDDIG DISTRICT HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION I (ILOCOS REGION)","010000000","ILOCOS NORTE","012800000","PIDDIG","012818000","ANAO (POB.)","012818003","2912","","","","piddigdh@yahoo.com","","","RABANG","CHONA STELLA","","Chief of Hospital","With License","","15"
"DOH000000000000007","7","LAUREN BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION I (ILOCOS REGION)","010000000","PANGASINAN","015500000","UMINGAN","015544000","LAUREN","015544033","2443"," "," "," "," "," "," ","RIVERA","PRISCILA","S.","Rural Health Midwife","","",""
"DOH000000000000010","10","URBIZTONDO RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","LUNA STREET"," ","REGION I (ILOCOS REGION)","010000000","PANGASINAN","015500000","URBIZTONDO","015545000","POBLACION","015545018","2414","+63 755943919"," "," "," "," "," ","LLACUANAN","CATHERINE","BANIQUED","Municipal Health Officer","","",""
"DOH000000000000023","23","BANGUI DISTRICT HOSPITAL","","","","Hospital","Government","Local Government Unit","","","","REGION I (ILOCOS REGION)","010000000","ILOCOS NORTE","012800000","BANGUI","012804000","ABACA","012804001","2920","+63 776761158","","","","","","SAMONTE","WALBERG","B.","Chief of Hospital","With License","Level 1","25"
"DOH000000000000024","24","GERTES CLINIC AND HOSPITAL","","","","Infirmary","Private","","","100 VENTURA STREET","","REGION I (ILOCOS REGION)","010000000","ILOCOS NORTE","012800000","SAN NICOLAS","012820000","SAN JOSE (POB.)","012820011","2901","+63 777732391","","+63 776706438","","","","GERTES","GEMINIANO","G.","Medical Director","With License","",""
"DOH000000000000116","116","BATAC CITY HEALTH OFFICE","BATAC MUNICIPAL HEALTH OFFICE","BATAC RURAL HEALTH UNIT"," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION I (ILOCOS REGION)","010000000","ILOCOS NORTE","012800000","CITY OF BATAC","012805000","SUABIT (POB.)","012805042","2906","+63 777923915"," ","+63 777923172","cho_batac@yahoo.com"," "," ","AGBAYANI","ALICIA","ALCANTARA","City Health Officer","","",""
"DOH000000000000162","162","SANTOL MUNICIPAL HEALTH OFFICE"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","PADAYAO STREET"," ","REGION I (ILOCOS REGION)","010000000","LA UNION","013300000","SANTOL","013318000","POBLACION","013318010","2516","+63 726030154"," "," ","lgu_santol@yahoo.com","msco_1982@yahoo.com"," ","TONGSON","RODOLFO","CACHO","Municipal Health Officer","","",""
"DOH000000000000172","172","BADOC MUNICIPAL HEALTH OFFICE","BADOC RURAL HEALTH UNIT"," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION I (ILOCOS REGION)","010000000","ILOCOS NORTE","012800000","BADOC","012803000","SANTA CRUZ NORTE","012803034","2904","+63 776700233"," "," ","mhobadoc@yahoo.com"," "," ","CABADING","EDGAR","ACOSTA","Municipal Health Officer","","",""
"DOH000000000000173","173","SAN NICOLAS MUNICIPAL HEALTH OFFICE","SAN NICOLAS RURAL HEALTH UNIT"," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION I (ILOCOS REGION)","010000000","ILOCOS NORTE","012800000","SAN NICOLAS","012820000","SAN ILDEFONSO (POB.)","012820002","2901","+63 776771156","+63 777813079","+63 777732304","mho_snin@yahoo.com"," "," ","OBIEN","LEONEIL","C.","Municipal Health Officer","","",""
"DOH000000000000182","182","VINTAR MUNICIPAL HEALTH OFFICE"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","GOMEZ"," ","REGION I (ILOCOS REGION)","010000000","ILOCOS NORTE","012800000","VINTAR","012823000"," "," ","2915","+63 776705276"," "," "," "," "," ","ALBANO","HEIDI MARITA","G.","Municipal Health Officer","","",""
