Date and Time Downloaded : 04/20/2020 10:04:23 pm"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000000025","25","MADDELA RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION II (CAGAYAN VALLEY)","020000000","QUIRINO","025700000","MADDELA","025704000","POBLACION NORTE","025704017","3404"," "," "," "," "," "," ","JUGUILON","DON FRANCIS","B.","Municipal Health Officer","","",""
"DOH000000000000047","47","TUAO RURAL HEALTH UNIT II"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","ZONE 1"," ","REGION II (CAGAYAN VALLEY)","020000000","CAGAYAN","021500000","TUAO","021528000","NARUANGAN","021528023","3528"," "," "," ","rhutuao2@gmail.com"," "," ","CAUILAN","MARISSA","ARQUERO","Municipal Health Officer","","",""
"DOH000000000000056","56","SAN AGUSTIN RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION II (CAGAYAN VALLEY)","020000000","ISABELA","023100000","SAN AGUSTIN","023127000","MASAYA CENTRO (POB.)","023127008","3314"," "," "," "," "," "," ","DOMINGO","EDDIE","L.","Municipal Health Officer","","",""
"DOH000000000000095","95","QUEZON RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION II (CAGAYAN VALLEY)","020000000","ISABELA","023100000","QUEZON","023122000","ARELLANO (POB.)","023122003","3324"," "," "," "," "," "," ","TOLENTINO","RICHIELITA","R.","Municipal Health Officer","","",""
"DOH000000000000105","105","DIFFUN MUNICIPAL HEALTH OFFICE","DIFFUN RURAL HEALTH UNIT"," "," ","Rural Health Unit","Government","Local Government Unit"," ","6 AURORA WEST"," ","REGION II (CAGAYAN VALLEY)","020000000","QUIRINO","025700000","DIFFUN","025703000","ANDRES BONIFACIO (POB.)","025703001","3401","+63 786947082"," "," ","mho_diffun@yahoo.com"," "," ","PATA","EDEN","GROSPE","Municipal Health Officer","","",""
"DOH000000000000106","106","SAN ISIDRO RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION II (CAGAYAN VALLEY)","020000000","ISABELA","023100000","SAN ISIDRO","023129000","GOMEZ","023129003","3310"," "," "," "," "," "," ","NG","MAUREEN","RILLORTA","Municipal Health Officer","","",""
"DOH000000000000122","122","SAN MATEO RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","AGLIPAY STREET"," ","REGION II (CAGAYAN VALLEY)","020000000","ISABELA","023100000","SAN MATEO","023132000","BARANGAY IV (POB.)","023132020","3318"," "," "," "," "," "," ","ACOSTA","MARK LESTER","GABRIEL","Municipal Health Officer","","",""
"DOH000000000000132","132","ILAGAN CITY HEALTH OFFICE I","ILAGAN RURAL HEALTH UNIT I"," "," ","Rural Health Unit","Government","Local Government Unit"," ","RIZAL STREET"," ","REGION II (CAGAYAN VALLEY)","020000000","ISABELA","023100000","ILAGAN CITY (Capital)","023114000","SAN VICENTE (POB.)","023114087","3300"," "," "," "," "," "," ","BARRIOS","HERBEE","MANALIGOD","City Health Officer","","",""
"DOH000000000000137","137","RAMON RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","QUEZON STREET"," ","REGION II (CAGAYAN VALLEY)","020000000","ISABELA","023100000","RAMON","023124000","BUGALLON PROPER (POB.)","023124022","3319"," "," "," "," "," "," ","GABRIEL","LEO","SUGUITAN","Municipal Health Officer","","",""
"DOH000000000000143","143","ELVIN U. MASIGAN INTEGRATED MEMORIAL HOSPITAL","","","","Infirmary","Government","Local Government Unit","","PUROK 5, BLISS SITE","","REGION II (CAGAYAN VALLEY)","020000000","ISABELA","023100000","SANTA MARIA","023134000","POBLACION  1","023134012","3330","","","","kanapiMD@gmail.com","","","PAGALLILAUAN","EPIFANIO","B.","Chief of Hospital","With License","","10"
"DOH000000000000147","147","VILLAVERDE RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","PROVINCIAL ROAD"," ","REGION II (CAGAYAN VALLEY)","020000000","NUEVA VIZCAYA","025000000","VILLAVERDE","025014000","POBLACION (TUROD)","025014008","3710"," "," "," "," "," "," ","RAGPA","TELESFORO","A.","Municipal Health Officer","","",""
"DOH000000000000148","148","TUGUEGARAO CITY HEALTH OFFICE"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","MAIN AVENUE"," ","REGION II (CAGAYAN VALLEY)","020000000","CAGAYAN","021500000","TUGUEGARAO CITY (Capital)","021529000","SAN GABRIEL","021529051","3500","+63 788464870","+63 788462197","+63 788464870","chotugcity@yahoo.com"," "," ","GUZMAN","JAMES","CASIBANG","City Health Officer","","",""
"DOH000000000000176","176","PAMPLONA RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION II (CAGAYAN VALLEY)","020000000","CAGAYAN","021500000","PAMPLONA","021518000","CENTRO (POB.)","021518009","3522","+63 783720353"," "," "," "," "," ","BAUTISTA","MACARIO","BANGALAN","Municipal Health Officer","","",""
"DOH000000000000227","227","REGIONAL HEALTH SERVICE 2 HOSPITAL","PNP REGIONAL HEALTH SERVICE","","","Infirmary","Government","","","CAMP ADDURU","","REGION II (CAGAYAN VALLEY)","020000000","CAGAYAN","021500000","TUGUEGARAO CITY (Capital)","021529000","CAGGAY","021529016","","","","","","","","MANONGAS","CLETO","P.","","With License","","11"
