Date and Time Downloaded : 04/21/2020 09:25:51 am"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000000005","5","BAGONG POOK DIST. III HEALTH CENTER","DEL REMEDIO HEALTH CENTER","","","Rural Health Unit","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","LUCENA CITY (Capital)","045624000","","","4301","","","","","","","","","","","","",""
"DOH000000000000050","50","PAKIL RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","GONZALES STREET"," ","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","PAKIL","043420000","GONZALES (POB.)","043420007","4017","+63 495572233"," "," ","rhupakil_laguna@yahoo.com.ph"," "," ","ACERIMO","PRIMO JR.","C.","Municipal Health Officer","","",""
"DOH000000000000075","75","PANGIL RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","PANGIL","043421000","SAN JOSE (POB.)","043421007","4018","049 557 0282","","049 557 0282","pangilrhu@yahoo.com","","","ALCANTARA","SUSAN","ESPIRITU","Municipal Health Officer","","",""
"DOH000000000000126","126","SAN PASCUAL RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","AQUINO AVENUE"," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SAN PASCUAL","041026000","POBLACION","041026020","4204","+63 437274321"," ","+63 437272376","rhu_san pascual.batangas@yahoo.com"," "," ","CARAAN","ROSALINA","S.","Municipal Health Officer","","",""
"DOH000000000000149","149","SANTA CRUZ RURAL HEALTH UNIT I"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","GENERAL CALLIES STREET"," ","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","SANTA CRUZ (Capital)","043426000","BARANGAY III (POB.)","043426016","4009","+63 495010359"," "," ","stacrurhu1@yahoo.com.ph"," "," ","BECINA","DELIA","AGUS","Municipal Health Officer","","",""
"DOH000000000000157","157","SAN LUIS RURAL HEALTH UNIT II"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","SAN LUIS","041024000","BANOYO","041024005","4210"," "," ","+63 434118121"," "," "," ","LEAÑO","LORENZO"," ","Municipal Health Officer","","",""
"DOH000000000000158","158","LIAN RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","J.P. RIZAL STREET"," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LIAN","041013000","BARANGAY  2 (POB.)","041013017","4216","+63 432152723","+63 432152320","+63 432152723"," "," "," ","VERGARA","MARILYN GILDELITA","ALVIOR","Municipal Health Officer","","",""
"DOH000000000000159","159","STRIKE SA SERBISYO CITY HEALTH UNIT I (POBLACION)","BACOOR RURAL HEALTH UNIT I","","","Rural Health Unit","Government","Local Government Unit","","EVANGELISTA STREET","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","BACOOR CITY","042103000","TABING DAGAT","042103023","4102","+63 454-3311","","","poblacionrhui@yahoo.com","","","DEGUZMAN","MUTYA MARVIS","CORPUZ","Medical Officer","Not Applicable","",""
"DOH000000000000161","161","CARMONA RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CARMONA","042104000","BARANGAY  4 (POB.)","042104015","4116","+63 464302372"," ","+63 46 4302372","mho.carmona@gmail.com"," "," ","AGUINALDO","HOMER","L.","Municipal Health Officer","","",""
"DOH000000000000163","163","DASMARIÑAS CITY HEALTH OFFICE II","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CITY OF DASMARI?AS","042106000","SANTA CRUZ I","042106041","4115","+63 464165638","","+63 464165638","dasma_cho2pidsr@yahoo.com","","","CAZEÑAS","MINERVA","MANGUBAT","City Health Officer","","",""
"DOH000000000000170","170","SAN MATEO RURAL HEALTH UNIT I","","","","Rural Health Unit","Government","Local Government Unit","","GSIS DAANG BAKAL","","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","SAN MATEO","045811000","MALY","045811008","1850","+63 029944735","","","","","","BERGADO","MARIA MELISSA","","Public Health Nurse","","",""
"DOH000000000000183","183","TANAY RURAL HEALTH UNIT I"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","MARCELO H. DEL PILAR STREET"," ","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","TANAY","045812000","KAYBUTO (POB.)","045812005","1980","+63 027033051","+63 026542608","+63 026542608","rhutanay@yahoo.com"," "," ","LUCE","RENE","VALDEZ","Municipal Health Officer","","",""
"DOH000000000000187","187","CCH RURAL HEALTH UNIT BIRTHING HOME","RODRIGUEZ MUNICIPAL HEALTH CENTER","","","Rural Health Unit","Government","Local Government Unit","","147 J.P. RIZAL AVENUE","","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","RODRIGUEZ (MONTALBAN)","045808000","BALITE (POB.)","045808001","1860","+63 026543336","","","mhorodriguezofficial@yahoo.com","","","JAVIER","MARIA CARMELA","VALDEZ","Municipal Health Officer","","",""
"DOH000000000000188","188","BALETE RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","BALETE","041004000","POBLACION","041004009","4219","+63 437720209","","","baleterhu@gmail.com","","","QUINTO","CZAR","","Municipal Health Officer","","",""
"DOH000000000000406","406","ARNAIZ HOSPITAL"," "," "," ","Hospital","Private"," "," ","F.P. FELIX AVENUE"," ","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","CAINTA","045805000","SAN ISIDRO","045805015","1900","+63 022401977"," "," "," "," "," ","ARNAIZ","NAPOLEON"," ","Medical Director","Without License","",""
"DOH000000000000409","409","ASIA MEDIC FAMILY HOSPITAL AND MEDICAL CENTER","","","","Hospital","Private","","","OLD PALA-PALA ROAD","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CITY OF DASMARI?AS","042106000","SAMPALOC I","042106013","4115","+63 464161110","+63 464160720","","","","","SAN JOSE","BELUZ","A.","Chief of Hospital","With License","Level 1","77"
"DOH000000000000411","411","ASSUMPTA MEDICAL HOSPITAL"," "," "," ","Hospital","Private"," "," ","A. BONIFACIO STREET"," ","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","TAAL","041029000"," "," ","4208"," "," "," "," "," "," ","MANALO","ROSALINDA","S."," ","Without License","",""
"DOH000000000000412","412","DOÑA MARTA MEMORIAL DISTRICT HOSPITAL","","","","Hospital","Government","Local Government Unit","","G. ORDA STREET","","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","ATIMONAN","045603000","BARANGAY ZONE  2 (POB.)","045603005","4331","+63 423165326","","","dmmdh_atimonan.quezon@yahoo.com","","","IMPERIAL","ARNULFO","O.","Chief of Hospital","With License","Level 1","50"
"DOH000000000000418","418","BAGONG CAINTA MUNICIPAL HOSPITAL","CAINTA MUNICIPAL HOSPITAL","","","Hospital","Government","Local Government Unit","","CAINTA MUNICIPAL COMPOUND","","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","CAINTA","045805000","SANTO DOMINGO","045805020","1900","+63 024775464","","","","","","CADANO","ANTONIO","VERGARA","Chief of Hospital","With License","Level 1","42"
"DOH000000000000428","428","BAUAN DOCTORS GENERAL HOSPITAL","","","","Hospital","Private","","","F. MANGOBOS STREET CORNER TAÑO ROAD","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","BAUAN","041006000","BARANGAY  I (POB.)","041006007","4201","+63 437274194","","","","","","MARQUEZ","BELEN","M.","Medical Director","With License","Level 2","100"
"DOH000000000000439","439","CALAMBA MEDICAL CENTER","","","","Hospital","Private","","","13 NATIONAL HIGHWAY","","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","CITY OF CALAMBA","043405000","REAL","043405049","4027","+63 495459162","","+63 495452809","calambamed@cmc.ph","","","JULIANO","JOSE ENRICO","G.","Chief of Hospital","With License","Level 2","122"
"DOH000000000000441","441","CANDELARIA MUNICIPAL HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","CANDELARIA","045608000","MASIN NORTE","045608016","4323","+63 425858327","","","","","","MIRANDO","GRACE","S.","","With License","","20"
"DOH000000000000442","442","CARLOS MEDICAL AND MATERNITY HOSPITAL"," "," "," ","Hospital","Private"," "," ","911 MANILA EAST ROAD"," ","REGION IV-A (CALABAR ZON)","040000000","RIZAL","045800000","CARDONA","045806000","LOOC","045806014","1950","+63 024015360"," "," ","carlosmedical1976@yahoo.com.ph"," "," ","CARLOS","ZENAIDA","M.","Medical Director","Without License","",""
"DOH000000000000448","448","CHRISTIAN GENERAL HOSPITAL","","","","Hospital","Private","","","564 A. MABINI STREET","","REGION IV-A (CALABAR ZON)","040000000","LAGUNA","043400000","PAGSANJAN","043419000","BARANGAY I (POB.)","043419012","4008","+63 495014051","","","","","","ABELLA","MARIA ISABELITA","","Medical Director","With License","Level 1","20"
"DOH000000000000456","456","CLARO M. RECTO MEMORIAL DISTRICT HOSPITAL","","","","Hospital","Government","Local Government Unit","","RIZAL STREET","","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","INFANTA","045620000","GUMIAN","045620020","4336","+63 425352882","","","cmrmdh@yahoo.com","","","DELOS REYES","CORAZON","A.","Chief of Hospital","With License","Level 1","39"
"DOH000000000000460","460","CRISOSTOMO GENERAL HOSPITAL","","","","Hospital","Private","","","TIRONA HIGHWAY","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","BACOOR CITY","042103000","DULONG BAYAN","042103007","4102","+63 464344805","+63 464343195","","","","","CRISOSTOMO","SOLIMAN","C.","Medical Director","With License","Level 1","20"
"DOH000000000000467","467","A. DE LA CRUZ MATERNITY HOSPITAL","DE LA CRUZ MATERNITY HOSPITAL","","","Hospital","Private","","","910 CRESCINI STREET","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","CAVITE CITY","042105000","","","4100","+63 464313185","","","","","","DELA CRUZ","ERWIN JAY","P.","Medical Director","With License","Level 1","11"
"DOH000000000000470","470","DEL CARMEN MEDICAL CLINIC"," "," "," ","Hospital","Private"," "," ","360 PICA STREET"," ","REGION IV-A (CALABAR ZON)","040000000","QUEZON","045600000","CALAUAG","045607000","BARANGAY V (POB.)","045607017","4318"," "," "," "," "," "," ","CANA","JULITO","L."," ","Without License","",""
"DOH000000000000476","476","DLS-DR. RODOLFO R. POBLETE MEMORIAL HOSPITAL","","","","Hospital","Private","","","BURGOS STREET","","REGION IV-A (CALABAR ZON)","040000000","CAVITE","042100000","ALFONSO","042101000","BARANGAY I (POB.)","042101002","4123","+63 464150190","","","","","","HERNANDEZ","CRISTINA","B.","Chief of Hospital","With License","Level 1","12"
"DOH000000000000482","482","BATANGAS PROVINCIAL HOSPITAL","DON JUAN MAYUGA MEMORIAL HOSPITAL","","","Hospital","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","LEMERY","041012000","PALANAS","041012029","4209","+63 434090573","","","batprohospital@yahoo.com","","","AGUILERA","DANILO","L.","Chief of Hospital","With License","Level 1","50"
"DOH000000000000483","483","DON MANUEL LOPEZ MEMORIAL DISTRICT HOSPITAL","","","","Hospital","Government","Local Government Unit","","","","REGION IV-A (CALABAR ZON)","040000000","BATANGAS","041000000","BALAYAN","041003000","GUMAMELA","041003029","4213","+63 439800541","","","donmanuellopezhospital@yahoo.com","","","HERNANDEZ","ANTONIO","C.","Chief of Hospital","With License","Level 1","50"
