Date and Time Downloaded : 04/20/2020 10:39:22 pm"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000000032","32","LINAPACAN RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-B (MIMAROPA)","170000000","PALAWAN","175300000","LINAPACAN","175313000","SAN MIGUEL (POB.)","175313010","5314"," "," "," "," "," "," ","CABAÑA","JOEL","P.","Municipal Health Officer","","",""
"DOH000000000000077","77","EL NIDO RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION IV-B (MIMAROPA)","170000000","PALAWAN","175300000","EL NIDO (BACUIT)","175312000","MALIGAYA POB. (BARANGAY 1)","175312011","5313","","","","rhu_elnido@yahoo.com","","","RELUCIO","MARIAN","MARGATE","Municipal Health Officer","","",""
"DOH000000000000086","86","BALABAC MUNICIPAL HEALTH OFFICE"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-B (MIMAROPA)","170000000","PALAWAN","175300000","BALABAC","175304000","POBLACION I","175304024","5307"," "," "," ","dennisponcemd@yahoo.com"," "," ","PONCE DE LEON","DENNIS","V.","Municipal Health Officer","","",""
"DOH000000000000087","87","BANSUD RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-B (MIMAROPA)","170000000","ORIENTAL MINDORO","175200000","BANSUD","175202000","POBLACION","175202008","5210","+63 432987164"," ","+63 432987022","mhobansud@yahoo.com"," "," ","SALES","MARIO","ORNEDO","Municipal Health Officer","","",""
"DOH000000000000088","88","BUSUANGA RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-B (MIMAROPA)","170000000","PALAWAN","175300000","BUSUANGA","175307000","SALVACION","175307012","5317"," "," "," ","lmprincesa@yahoo.com"," "," ","PRINCESA","LESALDEO MOSES"," ","Municipal Health Officer","","",""
"DOH000000000000101","101","ROXAS RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-B (MIMAROPA)","170000000","ORIENTAL MINDORO","175200000","ROXAS","175212000","BAGUMBAYAN (POB.)","175212001","5212","+63 432883123"," ","+63 434530309","lennydaite@yahoo.com.ph"," "," ","NUÑEZ-DAITE","LEONOR","M.","Municipal Health Officer","","",""
"DOH000000000000153","153","SAN JOSE RURAL HEALTH UNIT AND FAMILY PLANNING CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","JOSE ESTIMADO STREET"," ","REGION IV-B (MIMAROPA)","170000000","ROMBLON","175900000","SAN JOSE","175914000","POBLACION (AGCOGON)","175914005","5510"," "," "," ","sanjose_RHU@yahoo.com"," "," ","CRUZ","ENRICK JOSHUA","MIRANDA","Municipal Health Officer","","",""
"DOH000000000000154","154","SANTA MARIA RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-B (MIMAROPA)","170000000","ROMBLON","175900000","SANTA MARIA (IMELDA)","175917000","CONCEPCION NORTE (POB.)","175917002","5502"," "," "," ","marckevin01@yahoo.com"," "," ","LOZANO","MARC KEVIN"," ","Municipal Health Officer","","",""
"DOH000000000000155","155","SOCORRO RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-B (MIMAROPA)","170000000","ORIENTAL MINDORO","175200000","SOCORRO","175214000","ZONE IV (POB.)","175214023","5207","+63 432846042"," "," ","mhosocorro@yahoo.com"," "," ","GUAVES","TORIANO","FABULA","Municipal Health Officer","","",""
"DOH000000000000167","167","SAN VICENTE RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-B (MIMAROPA)","170000000","PALAWAN","175300000","SAN VICENTE","175319000","POBLACION (SAN VICENTE)","175319008","5309"," "," "," "," "," "," ","SIPOLE","MERCY GRACE","A.","Municipal Health Officer","","",""
"DOH000000000000195","195","ABORLAN MUNICIPAL HEALTH OFFICE","ABORLAN RURAL HEALTH UNIT","","","Rural Health Unit","Government","Local Government Unit","","","","REGION IV-B (MIMAROPA)","170000000","PALAWAN","175300000","ABORLAN","175301000","POBLACION","175301019","5302","","","","","","","SALAZAR","FIDEL","V.","Municipal Health Officer","","",""
"DOH000000000000222","222","BULALACAO COMMUNITY HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION IV-B (MIMAROPA)","170000000","ORIENTAL MINDORO","175200000","BULALACAO (SAN PEDRO)","175204000","CAMPAASAN (POB.)","175204007","5214","","","","bulcomhosp@gmail.com","","","YBOA","ARCHIE","SUMPO","Chief of Hospital","With License","","10"
"DOH000000000000226","226","ORIENTAL MINDORO CENTRAL DISTRICT HOSPITAL","PINAMALAYAN COMMUNITY HOSPITAL","","","Infirmary","Government","Local Government Unit","","STRONG REPUBLIC NAUTICAL HIGHWAY","","REGION IV-B (MIMAROPA)","170000000","ORIENTAL MINDORO","175200000","PINAMALAYAN","175209000","PAPANDAYAN","175209022","5208","+63 432843903","+63 432843562","","hermz.historillo@yahoo.com","","","GONZALES","GUILLERMO","ALVIAR","Chief of Hospital","With License","","10"
"DOH000000000000228","228","QUEZON MEDICARE HOSPITAL","","","","Infirmary","Government","Local Government Unit","","NATIONAL HIGHWAY","","REGION IV-B (MIMAROPA)","170000000","PALAWAN","175300000","QUEZON","175317000","ALFONSO XIII (POB.)","175317001","5304","","","","quezonmedicarehospital@yahoo.com","","","DANTES","ALVIN","A.","Chief of Hospital","With License","","10"
"DOH000000000000231","231","LUBANG DISTRICT HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION IV-B (MIMAROPA)","170000000","OCCIDENTAL MINDORO","175100000","LUBANG","175104000","TANGAL","175104006","5109","","","","DOCVINZ26@GMAIL.COM","","","SAYAPAL","VENMAR","S.","Chief of Hospital","With License","","25"
"DOH000000000000232","232","SAN SEBASTIAN DISTRICT HOSPITAL","","","","Hospital","Government","Local Government Unit","","SITIO MACAMBANG","","REGION IV-B (MIMAROPA)","170000000","OCCIDENTAL MINDORO","175100000","SABLAYAN","175109000","BUENAVISTA","175109002","5104","","","","sansebastiandistricthospital@yahoo.com","","","SALAZAR","ROMUALDO, JR.","M.","Chief of Hospital","With License","Level 1","50"
"DOH000000000000236","236","OSPITAL NG PALAWAN","","","","Hospital","Government","Department Of Health","","220 MALVAR STREET","","REGION IV-B (MIMAROPA)","170000000","PALAWAN","175300000","PUERTO PRINCESA CITY (Capital)","175316000","SAN MIGUEL","175316047","5300","+63 484346864","","","MELDY12@YAHOO.COM","","","DY","MELECIO","N.","Chief of Hospital","With License","Level 1","100"
"DOH000000000000260","260","SANTA CRUZ DISTRICT HOSPITAL","","","","Hospital","Government","Local Government Unit","","","","REGION IV-B (MIMAROPA)","170000000","MARINDUQUE","174000000","SANTA CRUZ","174005000","LAPU-LAPU POB. (5TH ZONE)","174005030","4902","+63 423211768","","","","","","VERTUCIO","VINCENT ARLIE","T.","Chief of Hospital","With License","Level 1","25"
"DOH000000000000279","279","CULION SANITARIUM AND GENERAL HOSPITAL","","","","Hospital","Government","Department Of Health","","","","REGION IV-B (MIMAROPA)","170000000","PALAWAN","175300000","CULION","175322000","TIZA","175322011","5315","+63 485509708","","","ARTCULSAN@YAHOO.COM","","","CUNANAN JR.","ARTURO","C.","Chief of Hospital","With License","Level 1","200"
"DOH000000000000283","283","UMALI MEDICAL CLINIC"," "," "," ","Hospital","Private"," "," ","GELACIO OCAMPO STREET"," ","REGION IV-B (MIMAROPA)","170000000","ORIENTAL MINDORO","175200000","VICTORIA","175215000","POBLACION I","175215018","5205"," "," "," "," "," "," ","UMALI","VIGILIO","D.","Chief of Hospital","Without License","",""
"DOH000000000000361","361","PALAWAN MEDICAL MISSION GROUP MULTIPURPOSE COOPERATIVE (PMMGMPC)","MEDICAL MISSION GROUP AND HEALTH SERVICES COOPERATIVE OF THE PHIL. PUERTO PRINCESA CITY","MEDICAL MISSION GROUP - PUERTO PRINCESA CITY COOPERATIVE HOSPITAL","","Hospital","Private","","","BURGOS STREET","","REGION IV-B (MIMAROPA)","170000000","PALAWAN","175300000","PUERTO PRINCESA CITY (Capital)","175316000","PRINCESA (POB.)","175316044","5300","+63 484333038","+63 484336137","","mmg_ptopal@yahoo.com","","","CASTILLO","PAUL","SALIENTES","Medical Director","With License","Level 1","120"
"DOH000000000000726","726","RTN FOUNDATION, INC.  HOSPITAL","RIO TUBA NICKEL FOUNDATION, INC. HOSPITAL","","","Hospital","Private","","","NICKEL AVENUE","","REGION IV-B (MIMAROPA)","170000000","PALAWAN","175300000","BATARAZA","175305000","RIO TUBA","175305013","5306","","","","rtnfihospital@yahoo.com","","","OCAMPO","LOUIE","","Chief of Hospital","With License","Level 1","30"
"DOH000000000000770","770","ST. MARTIN'S MISSION HOSPITAL"," "," "," ","Hospital","Private"," "," "," "," ","REGION IV-B (MIMAROPA)","170000000","OCCIDENTAL MINDORO","175100000","SABLAYAN","175109000","POBLACION (LUMANGBAYAN)","175109009","5104"," "," "," "," "," "," ","ENCARNACION","SR. MA. FE","G.","Hospital Director","Without License","",""
"DOH000000000000827","827","BONGABONG MUNICIPAL HEALTH OFFICE","BONGABONG RURAL HEALTH UNIT"," "," ","Rural Health Unit","Government","Local Government Unit"," ","LAPU-LAPU STREET"," ","REGION IV-B (MIMAROPA)","170000000","ORIENTAL MINDORO","175200000","BONGABONG","175203000","APLAYA","175203033","5211","+63 432835058"," "," ","bongabonghealth.com.ph"," "," ","FETALVERO","RONALDO","FERRIOL","Municipal Health Officer","","",""
"DOH000000000000835","835","CALAPAN CITY HEALTH AND SANITATION DEPARTMENT - NORTH SECTION","CALAPAN CITY HEALTH - NORTH SECTION"," "," ","Rural Health Unit","Government","Local Government Unit"," ","AURORA BOULEVARD"," ","REGION IV-B (MIMAROPA)","170000000","ORIENTAL MINDORO","175200000","CITY OF CALAPAN (Capital)","175205000","SAN VICENTE WEST (POB.)","175205054","5200","+63 432885619"," "," ","chsd_n@yahoo.com"," "," ","LEGASPI","ANGELITA","CARANZO","Rural Health Physician","","",""
"DOH000000000000869","869","NAUJAN RURAL HEALTH UNIT WEST"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-B (MIMAROPA)","170000000","ORIENTAL MINDORO","175200000","NAUJAN","175208000","BARCENAGA","175208010","5204"," "," "," ","naujanhealthoffice@yahoo.com"," "," ","ILAGAN","MARY JEAN","MANALO","Municipal Health Officer","","",""
"DOH000000000001378","1378","LUBANG RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION IV-B (MIMAROPA)","170000000","OCCIDENTAL MINDORO","175100000","LUBANG","175104000","ARAW AT BITUIN (POB.)","175104010","5109","","","","","","","PAGILAGAN","TERESA","ABELEDA","Municipal Health Officer","","",""
"DOH000000000001387","1387","MAMBURAO RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","MUNICIPAL COMPOUND"," ","REGION IV-B (MIMAROPA)","170000000","OCCIDENTAL MINDORO","175100000","MAMBURAO (Capital)","175106000","POBLACION 8 (BARANGAY 8)","175106015","5106"," "," "," "," "," "," ","CUASAY","CHONA","FLORES","Public Health Nurse","","",""
"DOH000000000001413","1413","VICTORIA RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-B (MIMAROPA)","170000000","ORIENTAL MINDORO","175200000","VICTORIA","175215000","POBLACION I","175215018","5205","+63 432855427"," "," ","vigette04@yahoo.com","gladysmay_m@yahoo.com"," ","VALDEZ","MA. VIRGINIA","R.","Municipal Health Officer","","",""
"DOH000000000001415","1415","ALCANTARA RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IV-B (MIMAROPA)","170000000","ROMBLON","175900000","ALCANTARA","175901000","POBLACION","175901006","5509"," "," "," ","jobin_maestro@yahoo.com"," "," ","MAESTRO","JOBIN","GALEN","Municipal Health Officer","","",""
"DOH000000000001503","1503","CALAPAN CITY HEALTH AND SANITATION DEPARTMENT - SOUTH SECTION","CITY HEALTH & SANITATION DEPARTMENT - SOUTH","","","Rural Health Unit","Government","Local Government Unit","","A. BONIFACIO STREET","","REGION IV-B (MIMAROPA)","170000000","ORIENTAL MINDORO","175200000","CITY OF CALAPAN (Capital)","175205000","IBABA EAST (POB.)","175205025","5200","+63 432884742","","","","","","BOLOR","MA. TERESITA","NIEVA","Rural Health Physician","","",""
"DOH000000000001526","1526","BACHAO IBABA BARANGAY HEALTH STATION","","","","Barangay Health Station","Government","Local Government Unit","","","","REGION IV-B (MIMAROPA)","170000000","MARINDUQUE","174000000","GASAN","174003000","BACHAO IBABA","174003003","4905","","","","","","","SOSA","MARIETTA","F.","Rural Health Midwife","","",""
"DOH000000000001540","1540","ALEGRIA BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-B (MIMAROPA)","170000000","ROMBLON","175900000","CORCUERA","175906000","ALEGRIA","175906001","5514"," "," "," "," "," "," ","FAJUTAG","GERLINE","MORES","Rural Health Midwife","","",""
"DOH000000000001541","1541","BANICE BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," ","PROPER BANICE STREET"," ","REGION IV-B (MIMAROPA)","170000000","ROMBLON","175900000","BANTON","175902000","BANICE","175902002","5515"," "," "," "," "," "," ","FIECAS","LAMELYN","FAIGAO","Rural Health Midwife","","",""
"DOH000000000001542","1542","COBRADOR BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IV-B (MIMAROPA)","170000000","ROMBLON","175900000","ROMBLON (Capital)","175910000","COBRADOR (NAGUSO)","175910023","5500"," "," "," "," "," "," ","MORTEL","IRENE","MORTOS","Rural Health Midwife","","",""
