Date and Time Downloaded : 04/20/2020 11:28:16 pm"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000000004","4","LABASON DISTRICT HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL NORTE","097200000","LABASON","097205000","LA UNION","097205017","7117","","","","","","","GO","ROSALYN","A.","Chief of Hospital","With License","","25"
"DOH000000000000027","27","TAMBULIG RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL SUR","097300000","TAMBULIG","097328000","CALOLOT","097328008","7025"," "," "," ","janetandaleonhernando@yahoo.com"," "," ","HERNANDO","JANET","ANDALEON","Municipal Health Officer","","",""
"DOH000000000000028","28","RAMON MAGSAYSAY RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL SUR","097300000","RAMON MAGSAYSAY (LIARGO)","097323000","POBLACION","097323020","7024"," "," "," "," "," "," ","YU","LEAH","FUTULAN","Municipal Health Officer","","",""
"DOH000000000000039","39","LABASON RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL NORTE","097200000","LABASON","097205000","IMELDA","097205037","7117"," "," "," "," "," "," ","BUCTUAN","FE CLAIRE","T.","Municipal Health Officer","","",""
"DOH000000000000042","42","GODOD RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL NORTE","097200000","GODOD","097225000","POBLACION","097225011","7114"," "," "," "," "," "," ","EVARDO","EVELYN","A.","Public Health Nurse","","",""
"DOH000000000000043","43","BALIGUIAN RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL NORTE","097200000","BALIGUIAN","097224000","POBLACION","097224014","7123"," "," "," "," "," "," ","MARMITA","ULYSES","AGUNOS","Municipal Health Officer","","",""
"DOH000000000000063","63","DUMALINAO RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL SUR","097300000","DUMALINAO","097307000","PAGLAUM (POB.)","097307041","7015"," "," "," ","rhudumalinao@yahoo.com"," "," ","TOLEDO","PATRICK KEAN","LASALA","Municipal Health Officer","","",""
"DOH000000000000064","64","SINDANGAN RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL NORTE","097200000","SINDANGAN","097218000","LA ROCHE SAN MIGUEL","097218061","7112","652242073","659185283"," ","MHC_sindangan@yahoo.com"," "," ","HAMOY","LOLITA","VILLEGAS","Municipal Health Officer","","",""
"DOH000000000000065","65","VINCENZO SAGUN RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL SUR","097300000","VINCENZO A. SAGUN","097341000","KABATAN","097341004","7036","622115561"," "," "," "," "," ","SABELLANO","GRACE","FLORENDO","Municipal Health Officer","","",""
"DOH000000000000066","66","GUIPOS RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL SUR","097300000","GUIPOS","097343000","POBLACION (GUIPOS)","097343009","7042"," "," "," "," "," "," ","SILAO","GIANHOPE","TENORIO","Municipal Health Officer","","",""
"DOH000000000000067","67","MOLAVE RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","CAPISTRANO STREET","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL SUR","097300000","MOLAVE","097319000","MAKUGUIHON (POB.)","097319019","7023","","","","rhumolave@yahoo.com","","","PABATO, JR.","PRISCO","SALOMON","Municipal Health Officer","","",""
"DOH000000000000110","110","KATIPUNAN RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL NORTE","097200000","KATIPUNAN","097203000","","","7109","","","","socrates.trinidad@yahoo.com","","","SAMONTE","PETER STEPHEN","SANTIAGO","Municipal Health Officer","Not Applicable","",""
"DOH000000000000111","111","PAGADIAN CITY HEALTH OFFICE","PAGADIAN CITY RURAL HEALTH UNIT"," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL SUR","097300000","PAGADIAN CITY (Capital)","097322000","GATAS (POB.)","097322018","7016","622141966"," "," "," "," "," ","CENIZA","NOEL","E.","City Health Officer","","",""
"DOH000000000000112","112","SANTA MARIA BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL SUR","097300000","PAGADIAN CITY (Capital)","097322000","SANTA MARIA","097322054","7016"," "," "," "," "," "," ","MOSENDE","ANNABELLE"," ","Rural Health Midwife","","",""
"DOH000000000000113","113","TALON-TALON MAIN HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","LOGOY GRANDE STREET"," ","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL SUR","097300000","ZAMBOANGA CITY","097332000","TALON-TALON","097332085","7000"," "," "," "," "," "," ","SAHIJUAN","HUSSEIN","H.","Rural Health Physician","","",""
"DOH000000000000146","146","LA LIBERTAD RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL NORTE","097200000","LA LIBERTAD","097204000","POBLACION","097204009","7119"," "," "," "," "," "," ","CABURAL","DIVA JEAN","REVANTAD","Municipal Health Officer","","",""
"DOH000000000000395","395","BLANCIA HOSPITAL","","","","Hospital","Private","","","","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL SUR","097300000","MOLAVE","097319000","BLANCIA","097319006","7023","+63 622252302","","","BLANCIAHOSPITAL@YAHOO.COM","","","BLANCIA","RAMCARL","ORTEGA","Chief of Hospital","With License","Level 1",""
"DOH000000000000425","425","BASILAN COMMUNITY HOSPITAL, INC.","","","","Hospital","Private","","","RIZAL AVENUE","","REGION IX (ZAMBOANGA PENINSULA)","090000000","CITY OF ISABELA (Not a Province)","099700000","CITY OF ISABELA","099701000","AGUADA","099701002","7300","+63 622003273","","","BASCOM_INC@YAHOO.COM","","","SANSON","MA. ISABEL","B.","Medical Director","With License","Level 1",""
"DOH000000000000426","426","BASILAN GENERAL HOSPITAL","","","","Hospital","Government","Department Of Health","","KILOMETER 2","","REGION IX (ZAMBOANGA PENINSULA)","090000000","CITY OF ISABELA (Not a Province)","099700000","CITY OF ISABELA","099701000","BINUANGAN","099701007","7300","","","+63 622007954","BGH9IS2BCITY@YAHOO.COM","","","GAUDIEL","RUFINO","","Chief of Hospital","With License","Level 1","25"
"DOH000000000000445","445","CHAVEZ MEDICAL CLINIC","","","","Infirmary","Private","","","","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL SUR","097300000","DINAS","097306000","POBLACION","097306020","7030","","","","","","","CHAVEZ","CHRISTINA","J.","Medical Director","With License","",""
"DOH000000000000449","449","CIUDAD MEDICAL ZAMBOANGA","","","","Hospital","Private","","","NUNEZ EXTENSION","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL SUR","097300000","ZAMBOANGA CITY","097332000","","","7000","+63 629927330","","+63 629927337","","","","ROJO","FILIPINAS","R.","Hospital Director","With License","Level 2",""
"DOH000000000000461","461","CRISTINO M. PARAGAS MEMORIAL HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL SUR","097300000","ZAMBOANGA CITY","097332000","QUINIPUT","097332066","7000","+63 629222442","","","","","","IPANTO","CICERO SHEAN","N.","Chief of Hospital","With License","","10"
"DOH000000000000495","495","DR. HENRY M. DE VILLA MEMORIAL HOSPITAL","","","","Hospital","Private","","","SAGUN STREET","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA SIBUGAY","098300000","IPIL (Capital)","098305000","POBLACION","098305023","7001","+63 623332291","","+63 623335640","","","","VIDA JOSEFINA","DE VILLA NATIVIDAD","C.","Chief of Hospital","With License","Level 1",""
"DOH000000000000497","497","DR. JOSE RIZAL MEMORIAL HOSPITAL","RIZAL MEMORIAL HOSPITAL","","","Hospital","Government","Department Of Health","","","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL NORTE","097200000","DAPITAN CITY","097201000","DAWO (POB.)","097201051","7101","+63 652136421","","","","","","VIRAY PARINAS","MARIA DINNA","C.","Chief of Hospital","With License","Level 1","75"
"DOH000000000000542","542","EDWIN ANDREW'S AIRBASE HOSPITAL","EDWIN ANDREWS AIRBASE HOSPITAL","","","Hospital","Government","Department of National Defense","","","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL SUR","097300000","ZAMBOANGA CITY","097332000","SANTA MARIA","097332076","7000","+63 629911070","","","","","","POSADAS","NELSON","V.","Chief of Hospital","With License","Level 1","29"
"DOH000000000000579","579","JAMELARIN HOSPITAL","","","","Hospital","Private","","","PUROK BAGONG SILANG","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL SUR","097300000","PAGADIAN CITY (Capital)","097322000","BALANGASAN (POB.)","097322002","7016","+63 622142442","","+63 622153810","","","","ESPANOLA","ANGELA","JAMELARIN","Chief of Hospital","With License","Level 1",""
"DOH000000000000588","588","JUAN S. ALANO MEMORIAL HOSPITAL, INC.","","","","Hospital","Private","","","RIZAL AVENUE","","REGION IX (ZAMBOANGA PENINSULA)","090000000","CITY OF ISABELA (Not a Province)","099700000","CITY OF ISABELA","099701000","DONA RAMONA T. ALANO (ISABELA WESTSITE)","099701016","7300","622003272","","622003272","ALANOHOSPITAL@YAHOO.COM","","","ROJAS","LIZA LESLIE","IBANEZ","Medical Director","With License","Level 1",""
"DOH000000000000646","646","MARGOSATUBIG REGIONAL HOSPITAL","","","","Hospital","Government","Department Of Health","","PUROK SAN FRANCISCO","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL SUR","097300000","MARGOSATUBIG","097317000","POBLACION","097317024","7035","+63 622115634","","","","","","SISON","RICHARD","BAUTISTA","Chief of Hospital","With License","Level 1","100"
"DOH000000000000703","703","PATHFINDER ESTATE HOSPITAL","","","","Hospital","Private","","","","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA SIBUGAY","098300000","KABASALAN","098306000","LUMBAYAO","098306015","7005","+63 623282217","","","","","","OCUREZA","ELENA","SEMELLA","Chief of Hospital","With License","Level 1","22"
"DOH000000000000705","705","PAYAO MUNICIPAL HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA SIBUGAY","098300000","PAYAO","098311000","POBLACION (PAYAO)","098311015","7008","","","","","","","MIJAL","ANZAR","H.","Chief of Hospital","With License","","10"
"DOH000000000000716","716","PIÑAN DISTRICT HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL NORTE","097200000","PI?AN (NEW PI?AN)","097209000","POBLACION NORTH","097209013","7105","","","","pdh.piñan@yahoo.com","","","VALMORIA","ADONIS","PAGASIAN","Chief of Hospital","With License","","25"
"DOH000000000000732","732","ROMEO B. SIBUD COUNTY HOSPITAL","","","","Hospital","Private","","","","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA SIBUGAY","098300000","TITAY","098315000","POBLACION (TITAY)","098315021","7003","+63 629260378","","","","","","SIBUD JR.","PERLIE","P.","Chief of Hospital","With License","Level 1","20"
"DOH000000000000746","746","SERGIO OSMEÑA SR. MUNICIPAL HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL NORTE","097200000","SERGIO OSME?A SR.","097214000","BIAYON","097214004","7108","","","","regilbael@yahoo.com","","","BAEL","REGIL","CADAVEDO","Chief of Hospital","With License","",""
"DOH000000000000747","747","SIBUTAD MUNICIPAL HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL NORTE","097200000","SIBUTAD","097217000","MAGSAYSAY","097217007","7103","","","","","","","ROMANILLOS","MARIA MARGARITA","SANTIAGO","Chief of Hospital","With License","","10"
"DOH000000000000748","748","SINDANGAN DISTRICT HOSPITAL","SINDANGAN GENERAL HOSPITAL","","","Hospital","Government","Local Government Unit","","","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL NORTE","097200000","SINDANGAN","097218000","POBLACION","097218025","7112","","+63 659185318","","SILEONPOSIA@YAHOO.COM","","","LACAYA","MARCELITO","LIGADOS","Chief of Hospital","With License","Level 1","50"
"DOH000000000000754","754","S.S. LUMAPAS HOSPITAL","SS LUMAPAS HOSPITAL","","","Infirmary","Private","","","MABINI STREET","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL SUR","097300000","MOLAVE","097319000","MADASIGON (POB.)","097319018","7023","+63 622252303","","","","","","BORROMEO","CAROUSEL","L.","Medical Director","With License","",""
"DOH000000000000807","807","ZAMBOANGA DEL NORTE MEDICAL CENTER","ZAMBOANGA DEL NORTE INTEG. PROV'L HOSPITAL","","","Hospital","Government","Local Government Unit","","","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL NORTE","097200000","DIPOLOG CITY (Capital)","097202000","SICAYAB","097202018","7100","+63 652124120","","","zanortemed@gmail.com","","","NADELA","ESMERALDA","A.","Medical Director","With License","Level 2","146"
"DOH000000000000929","929","TICTAPUL HEALTH CENTER"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL SUR","097300000","ZAMBOANGA CITY","097332000","TICTAPUL","097332088","7000"," "," "," "," "," "," ","DEVILLA","GERFER EMMANUEL","O.","Rural Health Physician","","",""
"DOH000000000000933","933","PAYAO RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA SIBUGAY","098300000","PAYAO","098311000","POBLACION (PAYAO)","098311015","7008"," "," "," "," "," "," ","ADANTE","GODFREY","ENRIQUEZ","Municipal Health Officer","","",""
"DOH000000000001592","1592","BUBURAY BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL SUR","097300000","DIMATALING","097305000","BUBURAY","097305007","7032"," "," "," "," "," "," ","ALBARICO ","JANICE","O.","Rural Health Midwife","","",""
"DOH000000000001593","1593","MUTIA RURAL HEALTH UNIT","MUTIA MAIN HEALTH CENTER","","","Rural Health Unit","Government","Local Government Unit","","","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL NORTE","097200000","MUTIA","097208000","POBLACION","097208010","7107","","","","","","","SABANDON","GAY","PADOGDOG","Municipal Health Officer","","",""
"DOH000000000001601","1601","BEGANG BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IX (ZAMBOANGA PENINSULA)","090000000","CITY OF ISABELA (Not a Province)","099700000","CITY OF ISABELA","099701000","BEGANG","099701006","7300"," "," "," "," "," "," ","YU","VIRGINIA","TUBALLA","Public Health Nurse","","",""
"DOH000000000001633","1633","GUINLES BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL NORTE","097200000","POLANCO","097210000","GUINLES","097210007","7106"," "," "," "," "," "," ","ACOYMO","LIGAYA","DOFITAS","Rural Health Midwife","","",""
"DOH000000000001636","1636","SAN JOSE HEALTH CENTER"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL NORTE","097200000","DIPOLOG CITY (Capital)","097202000","SAN JOSE","097202015","7100"," "," "," "," "," "," ","IRAN","FLORIFINA","TOMARONG","Rural Health Midwife","","",""
"DOH000000000001818","1818","DIMATALING RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL SUR","097300000","DIMATALING","097305000","POBLACION","097305021","7032"," "," "," "," "," "," ","EXILE","APRIL SUZETTE GLADYS ROSE","S. ","Municipal Health Officer","","",""
"DOH000000000001840","1840","DIPOLOG MEDICAL CENTER","","","","Hospital","Private","","","FR. N.Y. PATANGAN ROAD","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL NORTE","097200000","DIPOLOG CITY (Capital)","097202000","SANTA FILOMENA","097202017","7100","+63 652122555","+63 652125392","+63 652125486","","","","VILLEJO","ROIMM","P.","Chief of Hospital","With License","Level 1",""
"DOH000000000001874","1874","AURORA RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","JUAN LUNA STREET","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL SUR","097300000","AURORA","097302000","POBLACION","097302042","7020","","","","","","","CABAHUG","MARY SILYNE","ASOR","Municipal Health Officer","","",""
"DOH000000000001915","1915","BAYOG RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL SUR","097300000","BAYOG","097303000","POBLACION","097303023","7011"," "," "," "," "," "," ","ULGASAN","MARLENE","B.","Rural Health Midwife","","",""
"DOH000000000001921","1921","DINAS RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION IX (ZAMBOANGA PENINSULA)","090000000","ZAMBOANGA DEL SUR","097300000","DINAS","097306000","POBLACION","097306020","7030","","","","","","","OTERO","MARIA ROSANNA","D.","Municipal Health Officer","","",""
