Date and Time Downloaded : 04/20/2020 11:52:19 pm"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000000060","60","SIRUMA MUNICIPAL HOSPITAL","","","","Infirmary","Government","Local Government Unit","","BATUGAN STREET","","REGION V (BICOL REGION)","050000000","CAMARINES SUR","051700000","SIRUMA","051735000","","","4427","","","","sirumamunicipalhospital@gmail.com","","","ODEVILAS","MICHAEL","C.","Chief of Hospital","With License","","10"
"DOH000000000000117","117","MALINAO RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","RIZAL ST.","","REGION V (BICOL REGION)","050000000","ALBAY","050500000","MALINAO","050510000","POBLACION","050510021","4512","+63 5248845511","","","totsbausa@yahoo.com","","","BAUSA","DANTE","B.","Municipal Health Officer","","",""
"DOH000000000000210","210","NAPAOD BARANGAY HEALTH STATION","","","","Barangay Health Station","Government","Local Government Unit","","PUROK 1","","REGION V (BICOL REGION)","050000000","CAMARINES NORTE","051600000","LABO","051606000","NAPAOD","051606043","4604","","","","","","","JACELA","LEONIDA","ASIS","Rural Health Midwife","","",""
"DOH000000000000239","239","CAWAYAN MUNICIPAL HOSPITAL","","","","Infirmary","Government","Local Government Unit","","RIVERAL STREET","","REGION V (BICOL REGION)","050000000","MASBATE","054100000","CAWAYAN","054106000","POBLACION","054106022","5409","","","","cawayan_hospital@yahoo.com","","","MALAGAD","AILENE","CONDOR","Chief of Hospital","With License","","10"
"DOH000000000000240","240","ZAPANTA GENERAL HOSPITAL","","","","Infirmary","Private","","","RIZAL STREET","","REGION V (BICOL REGION)","050000000","ALBAY","050500000","PIO DURAN","050513000","BANAWAN (BINAWAN)","050513005","4516","","","","zapantagenhosp@yahoo.com","","","ZAPANTA","NELLY","R.","Medical Director","With License","","12"
"DOH000000000000246","246","SAN JOSE MEDICARE COMMUNITY HOSPITAL","PARTIDO DISTRICT HOSPITAL","","","Infirmary","Government","Local Government Unit","","","","REGION V (BICOL REGION)","050000000","CAMARINES SUR","051700000","SAN JOSE","051733000","DEL CARMEN (POB.)","051733010","4423","+63 544542145","","","partido.district.hospital@gmail.com","","","CACERES","EDSEL","B.","Chief of Hospital","With License","","15"
"DOH000000000000247","247","JUAN M. ALBERTO MEMORIAL DISTRICT HOSPITAL","","","","Hospital","Government","Local Government Unit","","","","REGION V (BICOL REGION)","050000000","CATANDUANES","052000000","SAN ANDRES (CALOLBON)","052008000","BELMONTE (POB.)","052008007","4810","","","","","","","ZAFE","MA. BESSIE","RODULFO","Chief of Hospital","With License","Level 1","25"
"DOH000000000000252","252","PANDAN DISTRICT HOSPITAL","","","","Hospital","Government","Local Government Unit","","VERA STREET","","REGION V (BICOL REGION)","050000000","CATANDUANES","052000000","PANDAN","052006000","NAPO (POB.)","052006014","4809","","","","pdhthehealer@yahoo.com.ph","","","MARIANO","RAFAEL","I.","Chief of Hospital","With License","Level 1","25"
"DOH000000000000257","257","DONSOL DISTRICT HOSPITAL","","","","Hospital","Government","Local Government Unit","","","","REGION V (BICOL REGION)","050000000","SORSOGON","056200000","DONSOL","056207000","TRES MARIAS","056207048","4715","","","","romelnavora@yahoo.com","","","AMISOLA","SHERWIN","P.","Chief of Hospital","With License","Level 1","25"
"DOH000000000000261","261","VIGA DISTRICT HOSPITAL","VIGA EMERGENCY HOSPITAL","","","Hospital","Government","Local Government Unit","","SAN VICENTE STREET","","REGION V (BICOL REGION)","050000000","CATANDUANES","052000000","VIGA","052010000","SAN VICENTE (POB.)","052010026","4805","","","","","","","VILLANUEVA","BEN JOHNSON","B.","Chief of Hospital","With License","Level 1","25"
"DOH000000000000266","266","CAMARINES NORTE PROVINCIAL HOSPITAL","","","","Hospital","Government","Local Government Unit","","BAGASBAS ROAD","CNPH BUILDING","REGION V (BICOL REGION)","050000000","CAMARINES NORTE","051600000","DAET (Capital)","051603000","BARANGAY V (POB.)","051603028","4600","+63 567215457","","","CNPH_PHO@YAHOO.COM","","","SALAGOSTE","ARNULFO","G.","Medical Director","With License","Level 2","150"
"DOH000000000000267","267","MASBATE PROVINCIAL HOSPITAL","","","","Hospital","Government","Local Government Unit","","PHO ROAD","","REGION V (BICOL REGION)","050000000","MASBATE","054100000","CITY OF MASBATE (Capital)","054111000","KALIPAY (POB.)","054111019","5400","+63 563332244","","+63 563332244","masbate_pho@yahoo.com","","","ALMANZOR","ADOLFO","R.","Chief of Hospital","With License","Level 2","100"
"DOH000000000000270","270","BICOL REGIONAL TRAINING AND TEACHING HOSPITAL","","","","Hospital","Government","Department Of Health","","RIZAL STREET","","REGION V (BICOL REGION)","050000000","ALBAY","050500000","LEGAZPI CITY (Capital)","050506000","","","4500","+63 524830014","","","","","","RIVERA","ROGELIO","G.","Chief of Hospital","With License","Level 3","250"
"DOH000000000000277","277","BICOL REGION GENERAL HOSPITAL AND GERIATRIC MEDICAL CENTER","BICOL SANITARIUM","","","Hospital","Government","Department Of Health","","ZONE 1","","REGION V (BICOL REGION)","050000000","CAMARINES SUR","051700000","CABUSAO","051707000","SAN PEDRO","051707008","4406","","","","","","","SARMIENTO","EDGARDO","R.","Chief of Hospital","With License","Level 1","450"
"DOH000000000000278","278","BICOL MEDICAL CENTER","","","","Hospital","Government","Department Of Health","","PANGANIBAN STREET","","REGION V (BICOL REGION)","050000000","CAMARINES SUR","051700000","NAGA CITY","051724000","CONCEPCION PEQUEÑO","051724010","4400","+63 544725041","","","","","","SALES","FRANCISCO","","Chief of Hospital","With License","Level 3","450"
