Date and Time Downloaded : 04/20/2020 11:40:21 pm"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000000018","18","MATAG-OB RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VIII (EASTERN VISAYAS)","080000000","LEYTE","083700000","MATAG-OB","083733000","SAN GUILLERMO","083733021","6532","535542074"," "," "," "," "," ","RAGASA","YVONNE","SAMSON","Municipal Health Officer","","",""
"DOH000000000000048","48","CABUCGAYAN MUNICIPAL HEALTH OFFICE","CABUCGAYAN RURAL HEALTH UNIT"," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VIII (EASTERN VISAYAS)","080000000","BILIRAN","087800000","CABUCGAYAN","087803000","MAGBANGON (POB.)","087803011","6550"," "," "," "," "," "," ","TAN","JULIETA","C.","Municipal Health Officer","","",""
"DOH000000000000053","53","JAVIER RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION VIII (EASTERN VISAYAS)","080000000","LEYTE","083700000","JAVIER (BUGHO)","083724000","POBLACION ZONE  2","083724023","6511","","","","ANN.UPMED@GMAIL.COM","","","BADRINA","KRISTEL JOY","PANTAS","Municipal Health Officer","","",""
"DOH000000000000094","94","HILONGOS RURAL HEALTH UNIT I","","","","Rural Health Unit","Government","Local Government Unit","","R. VILLAFLORES","","REGION VIII (EASTERN VISAYAS)","080000000","LEYTE","083700000","HILONGOS","083719000","WESTERN BARANGAY (POB.)","083719030","6524","+63 533363533","","","","","","VELMONTE","ALEJANDRINO","R.","Municipal Health Officer","","",""
"DOH000000000000096","96","LEYTE RURAL HEALTH UNIT AND FAMILY PLANNING CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VIII (EASTERN VISAYAS)","080000000","LEYTE","083700000","LEYTE","083729000","POBLACION","083729021","6533"," "," "," "," "," "," ","PEDIDA","LORNA","L","Municipal Health Officer","","",""
"DOH000000000037138","37138","HI PRECISION CLINICAL LABORATORY","","","","General Clinic Laboratory","Private","","Single Proprietorship","COR. REAL ADN DADIZON STREET","","REGION VIII (EASTERN VISAYAS)","080000000","LEYTE","083700000","TACLOBAN CITY (Capital)","083747000","BARANGAY  56","083747085","6500","","","","","","","","","","","With License","",""
"DOH000000000000130","130","SAN RICARDO RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VIII (EASTERN VISAYAS)","080000000","SOUTHERN LEYTE","086400000","SAN RICARDO","086415000","POBLACION","086415008","6617"," "," "," "," "," "," ","GLORIA","CORAZON","K.","Municipal Health Officer","","",""
"DOH000000000000131","131","MAHAPLAG RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION VIII (EASTERN VISAYAS)","080000000","LEYTE","083700000","MAHAPLAG","083731000","MALINAO","083731012","6512"," "," "," "," "," "," ","GERVACIO","BONIFACIO, JR.","A.","Municipal Health Officer","","",""
"DOH000000000000133","133","LIMASAWA RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION VIII (EASTERN VISAYAS)","080000000","SOUTHERN LEYTE","086400000","LIMASAWA","086419000","CABULIHAN","086419001","6618","","","","","","","PROFETANA","JEROME","G.","Municipal Health Officer","","",""
"DOH000000000000134","134","MARIPIPI MUNICIPAL HEALTH OFFICE BIRTHING HOME","MARIPIPI RURAL HEALTH UNIT","","","Rural Health Unit","Government","Local Government Unit","","","","REGION VIII (EASTERN VISAYAS)","080000000","BILIRAN","087800000","MARIPIPI","087807000","ERMITA (POBLACION SUR)","087807016","6563","","","","RHUMARIPIPI@GMAIL.COM","","","LLEVER","MARY GRACE","R.","Municipal Health Officer","Not Applicable","",""
