Date and Time Downloaded : 04/20/2020 11:26:04 pm"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000000119","119","CLAVERIA RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","PIMENTEL STREET"," ","REGION X (NORTHERN MINDANAO)","100000000","MISAMIS ORIENTAL","104300000","CLAVERIA","104306000","POBLACION","104306020","9004","+63 883581444"," "," ","rhuclaveria2012@gmail.com"," "," ","DELA CRUZ","ZIEGRED"," ","Municipal Health Officer","","",""
"DOH000000000000136","136","CONCEPCION RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION X (NORTHERN MINDANAO)","100000000","MISAMIS OCCIDENTAL","104200000","CONCEPCION","104206000","POBLACION","104206011","7213","","","","concepcion.mhoffice@gmail.com","","","CIELO","PAUL MICAH","GUEVARA","Municipal Health Officer","","",""
"DOH000000000000165","165","JASAAN RURAL HEALTH UNIT","JASAAN RURAL HEALTH UNIT AND FAMILY PLANNING CENTER","","","Rural Health Unit","Government","Local Government Unit","","","","REGION X (NORTHERN MINDANAO)","100000000","MISAMIS ORIENTAL","104300000","JASAAN","104311000","UPPER JASAAN (POB.)","104311014","9003","","","","","","","ROA","MARIA CARLOTA","FERNANDEZ","Municipal Health Officer","","",""
"DOH000000000000171","171","LUGAIT MUNICIPAL HEALTH OFFICE"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION X (NORTHERN MINDANAO)","100000000","MISAMIS ORIENTAL","104300000","LUGAIT","104316000","POBLACION","104316007","9025","+63 632251737"," "," "," "," "," ","TUAZON","ROSANA","T.","Municipal Health Officer","","",""
"DOH000000000000397","397","TOBIAS FELICIANO FAITH HOSPITAL, INC.","FAITH HOSPITAL","","","Hospital","Private","","","110 FELICIANO STREET","","REGION X (NORTHERN MINDANAO)","100000000","MISAMIS OCCIDENTAL","104200000","OZAMIZ CITY","104210000","AGUADA (POB.)","104210001","7200","","","","faith_hospital1972@yahoo.com","","","FELICIANO","ANGEL, JR.","T.","Chief of Hospital","With License","Level 1","78"
"DOH000000000000408","408","ARUELO GENERAL HOSPITAL","","","","Infirmary","Private","","","147 SOUTH 2ND STREET","","REGION X (NORTHERN MINDANAO)","100000000","MISAMIS OCCIDENTAL","104200000","TANGUB CITY","104215000","","","7204","+63 883220271","","","ARUELO_1972@YAHOO.COM","","","OSORIO","ABELARDO","T.","Chief of Hospital","With License","",""
"DOH000000000000435","435","BUKIDNON PROVINCIAL MEDICAL CENTER - MALAYBALAY CITY","","","","Hospital","Government","Local Government Unit","","","","REGION X (NORTHERN MINDANAO)","100000000","BUKIDNON","101300000","CITY OF MALAYBALAY (Capital)","101312000","CASISANG","101312012","8700","","","","bpmc.malaybalay@yahoo.com","","","LEGASPI","SULPICIO HENRY, JR.","M.","Chief of Hospital","With License","Level 2","150"
"DOH000000000000436","436","BUKIDNON PROVINCIAL HOSPITAL - MANOLO FORTICH","","","","Hospital","Government","Local Government Unit","","","","REGION X (NORTHERN MINDANAO)","100000000","BUKIDNON","101300000","MANOLO FORTICH","101314000","SAN MIGUEL","101314018","8703","","","","GFACTURA@YAHOO.COM","","","FACTURA","GINA","G.","Chief of Hospital","With License","Level 1","24"
"DOH000000000000450","450","MISAMIS ORIENTAL PROVINCIAL HOSPITAL - CLAVERIA","","","","Infirmary","Government","Local Government Unit","","","","REGION X (NORTHERN MINDANAO)","100000000","MISAMIS ORIENTAL","104300000","CLAVERIA","104306000","POBLACION","104306020","9004","","","","MISORCLAVERIA@GMAIL.COM","","","REALISTA","VINAFLOR","B.","Chief of Hospital","With License","","10"
"DOH000000000000471","471","DELBERT JON'S POLYCLINIC INCORPORATED","DELBERT JON'S HOSPITAL","","","Infirmary","Private","","","PUROK 2","","REGION X (NORTHERN MINDANAO)","100000000","LANAO DEL NORTE","103500000","KAPATAGAN","103505000","POBLACION","103505036","9214","+63 632279104","","","djpolyclinic@yahoo.com","","","YU","EDILBERTO","L.","Chief of Hospital","With License","","25"
"DOH000000000000472","472","DIGNUM FOUNDATION HOSPITAL, INC.","","","","Infirmary","Private","","","GENERAL VICENTE LIM STREET","","REGION X (NORTHERN MINDANAO)","100000000","MISAMIS OCCIDENTAL","104200000","OROQUIETA CITY (Capital)","104209000","LANGCANGAN LOWER","104209017","7207","+63 885310235","","","DIGNUMHOSP1974@GMAIL.COM","","","FLORES","GUADALUPE","S.","Medical Director","With License","","28"
"DOH000000000000473","473","SULTAN NAGA DIMAPORO PROVINCIAL HOSPITAL","DIMAPORO MEMORIAL HOSPITAL","","","Infirmary","Government","Local Government Unit","","","","REGION X (NORTHERN MINDANAO)","100000000","LANAO DEL NORTE","103500000","SULTAN NAGA DIMAPORO (KAROMATAN)","103506000","MAGUINDANAO","103506020","9215","","","","SNDPH82@YAHOO.COM","","","PUNGGINAGUINA","JASMINE","T.","Chief of Hospital","With License","","20"
"DOH000000000000477","477","DRAZEN COMMUNITY HOSPITAL","","","","Infirmary","Private","","","PUROK SANTAL","","REGION X (NORTHERN MINDANAO)","100000000","MISAMIS OCCIDENTAL","104200000","SINACABAN","104214000","POBLACION","104214013","7203","","","","DRAZENCOMMUNITY@GMAIL.COM","","","REVELO","ALAMADO","L.","Chief of Hospital","With License","",""
"DOH000000000000488","488","DR. ALBERTO M. PASTOR HOSPITAL","","","","Infirmary","Private","","","PUROK MABUHAY","","REGION X (NORTHERN MINDANAO)","100000000","BUKIDNON","101300000","QUEZON","101317000","SALAWAGAN","101317030","8715","+63 883551141","","","albertopastor729@yahoo.com.ph","","","PASTOR","ALBERTO","MAGALLANES","Medical Director","With License","",""
"DOH000000000000522","522","DR. UY HOSPITAL INC.","","","","Hospital","Private","","","19 ROXAS AVENUE","","REGION X (NORTHERN MINDANAO)","100000000","LANAO DEL NORTE","103500000","ILIGAN CITY","103504000","POBLACION","103504017","9200","+63 632213414","","+63 632212096","","","","VALDEZ","MACARIO","R.","Chief of Hospital","With License","Level 2",""
"DOH000000000000539","539","E & R HOSPITAL AND PHARMACY","","","","Hospital","Private","","","","","REGION X (NORTHERN MINDANAO)","100000000","LANAO DEL NORTE","103500000","ILIGAN CITY","103504000","POBLACION","103504017","9200","+63 632233225","","","","","","DUCAY-BANDOJO","EVELYN","B.","Chief of Hospital","With License","Level 2",""
"DOH000000000000553","553","GINGOOG SANITARIUM AND HOSPITAL","GINGOOG SANITARIUM HOSPITAL","","","Hospital","Private","","","C. BAGAIPO STREET","","REGION X (NORTHERN MINDANAO)","100000000","MISAMIS ORIENTAL","104300000","GINGOOG CITY","104308000","BARANGAY 22 (POB.)","104308074","9014","+63 888427987","+63 888610234","","AH.GINGOOG@GMAIL.COM","","","LIBARIOS","DEANNA","C.","Medical Director","With License","Level 1",""
"DOH000000000000560","560","GREGORIO T. LLUCH MEMORIAL HOSPITAL","","","","Hospital","Government","Local Government Unit","","","","REGION X (NORTHERN MINDANAO)","100000000","LANAO DEL NORTE","103500000","ILIGAN CITY","103504000","PALAO","103504016","9200","+63 632212536","","","","","","VALDEHUEZA","EFLIEDA","C.","Chief of Hospital","With License","Level 2","119"
"DOH000000000000574","574","ILIGAN MEDICAL CENTER HOSPITAL","","","","Hospital","Private","","","SAN MIGUEL VILLAGE","","REGION X (NORTHERN MINDANAO)","100000000","LANAO DEL NORTE","103500000","ILIGAN CITY","103504000","PALAO","103504016","9200","+63 632214661","","+63 632253181","","","","RIGO","DANIEL","P.","Chief of Hospital","With License","Level 2",""
"DOH000000000000587","587","J.R. BORJA GENERAL HOSPITAL","","","","Hospital","Government","Local Government Unit","","SERINA STREET","","REGION X (NORTHERN MINDANAO)","100000000","MISAMIS ORIENTAL","104300000","CAGAYAN DE ORO CITY (Capital)","104305000","CARMEN","104305044","9000","","","","jrborjagenhosp@gmail.com","","","PEREZ","EVELYN","CASIÑO","Chief of Hospital","With License","Level 1","100"
"DOH000000000000597","597","KAPATAGAN PROVINCIAL HOSPITAL","","","","Hospital","Government","Local Government Unit","","","","REGION X (NORTHERN MINDANAO)","100000000","LANAO DEL NORTE","103500000","KAPATAGAN","103505000","POBLACION","103505036","9214","+63 633828030","","","KAPATAGANPROVINCIALHOSPITAL@GMAIL.COM","","","TOMADA","MEDEL","T.","Chief of Hospital","With License","Level 1","50"
"DOH000000000000598","598","KAUSWAGAN PROVINCIAL HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION X (NORTHERN MINDANAO)","100000000","LANAO DEL NORTE","103500000","KAUSWAGAN","103507000","BAGUMBAYAN (POB.)","103507001","9202","+63 632271259","","","KAUSPH@GMAIL.COM","","","FERNANDEZ","REMEDIOS","BALUNDO","Chief of Hospital","With License","","10"
"DOH000000000000605","605","KOLAMBUGAN PROVINCIAL HOSPITAL","","","","Hospital","Government","Local Government Unit","","AUSTIN HEIGHTS","","REGION X (NORTHERN MINDANAO)","100000000","LANAO DEL NORTE","103500000","KOLAMBUGAN","103508000","POBLACION","103508020","9207","+63 632775001","","","KOLPH@OUTLOOK.COM","","","ROBIEGO","VILMA","G.","Chief of Hospital","With License","Level 1","75"
"DOH000000000000616","616","LA VIÑA GENERAL HOSPITAL, INC.","","","","Hospital","Private","","","L. ALKUINO STREET","","REGION X (NORTHERN MINDANAO)","100000000","BUKIDNON","101300000","CITY OF VALENCIA","101321000","POBLACION","101321024","8709","+63 882223238","+63 882222967","+63 882222110","","","","MATA","JOHN","E.","Medical Director","With License","Level 2",""
"DOH000000000000630","630","MADONNA AND CHILD HOSPITAL","","","","Hospital","Private","","","J.V. SERINA STREET","","REGION X (NORTHERN MINDANAO)","100000000","MISAMIS ORIENTAL","104300000","CAGAYAN DE ORO CITY (Capital)","104305000","CARMEN","104305044","9000","+63 888583962","","","","","","KHO","MIGUEL","E.","Chief of Hospital","With License","Level 2","100"
"DOH000000000000641","641","MALAYBALAY MEDICAL HOSPITAL CARE","MALAYBALAY MEDICAL HOSPITAL","","","Hospital","Private","","","FORTICH STREET","","REGION X (NORTHERN MINDANAO)","100000000","BUKIDNON","101300000","CITY OF MALAYBALAY (Capital)","101312000","BARANGAY 7 (POB.)","101312050","8700","+63 888131140","","","malaybalay_medical_hospital@yahoo.com","","","BARGOLA","OMAR BRYAN","NAGUIO","Other","With License","Level 1","38"
"DOH000000000000642","642","MALAYBALAY POLYMEDIC GENERAL HOSPITAL","","","","Hospital","Private","","","FORTICH STREET","","REGION X (NORTHERN MINDANAO)","100000000","BUKIDNON","101300000","CITY OF MALAYBALAY (Capital)","101312000","BARANGAY 9 (POB.)","101312052","8700","+63 888134016","","+63 888132365","","","","PO GO","MAUREEN MARY","T.","Chief of Hospital","With License","Level 2","150"
"DOH000000000000645","645","MARAAT MEDICAL HOSPITAL","","","","Infirmary","Private","","","BALANGAY 6","","REGION X (NORTHERN MINDANAO)","100000000","BUKIDNON","101300000","QUEZON","101317000","POBLACION (KIOKONG)","101317028","8715","","","","maraathospital44@gmail.com","","","MARAAT","LETECIA","PALOMAR","Medical Director","With License","","23"
"DOH000000000000657","657","JIMENEZ MEDICARE COMMUNITY HOSPITAL","","","","Infirmary","Government","Local Government Unit","","59 GOMEZ STREET","","REGION X (NORTHERN MINDANAO)","100000000","MISAMIS OCCIDENTAL","104200000","JIMENEZ","104207000","NACIONAL (POB.)","104207016","7204","+63 882723911","+63 885451543","","jmch59@gmail.com","jmchmedicalrecords@gmail.com","","MANGUBAT","KATRINA GARCIA","B.","Chief of Hospital","With License","","15"
"DOH000000000000658","658","BUKIDNON PROVINCIAL HOSPITAL - TALAKAG","","","","Infirmary","Government","Local Government Unit","","","","REGION X (NORTHERN MINDANAO)","100000000","BUKIDNON","101300000","TALAKAG","101320000","BARANGAY 3 (POB.)","101320021","8708","","","","BPHTALAKAG@GMAIL.COM","","","BORONG","JOSEPH","J.","Chief of Hospital","With License","","15"
"DOH000000000000659","659","MEDIDAS MEDICAL CENTER INC.","MEDIDAS MEDICAL CLINIC","","","Hospital","Private","","","2014 ROXAS STREET, GUINOYURAN ROAD","","REGION X (NORTHERN MINDANAO)","100000000","BUKIDNON","101300000","CITY OF VALENCIA","101321000","POBLACION","101321024","8709","+63 888286889","","","medidas_clinic@yahoo.com","medidasmedicalcenter@gmail.com","","MEDIDAS","SATURNINO","ANDAMON","Medical Director","With License","Level 1","25"
"DOH000000000000660","660","MEDINA GENERAL HOSPITAL","","","","Hospital","Private","","","JOSE ABAD SANTOS STREET","","REGION X (NORTHERN MINDANAO)","100000000","MISAMIS OCCIDENTAL","104200000","OZAMIZ CITY","104210000","CARMEN (MISAMIS ANNEX)","104210037","7200","+63 885211183","+63 885211192","","","","","MEDINA","GEORGE THOREK","C.","Chief of Hospital","With License","Level 2","200"
