Date and Time Downloaded : 04/20/2020 11:23:08 pm"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000000006","6","IGPIT BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION XI (DAVAO REGION)","110000000","DAVAO DEL SUR","112400000","CITY OF DIGOS (Capital)","112403000","IGPIT","112403010","8002"," "," "," "," "," "," ","PANTILLO","BELINDA","C.","Rural Health Midwife","","",""
"DOH000000000000008","8","LIMOT BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION XI (DAVAO REGION)","110000000","DAVAO ORIENTAL","112500000","TARRAGONA","112511000","LIMOT","112511005","8201"," "," "," "," "," "," ","PALER","LETECIA","M.","Rural Health Midwife","","",""
"DOH000000000000009","9","SAN ISIDRO BARANGAY HEALTH STATION"," "," "," ","Barangay Health Station","Government","Local Government Unit"," "," "," ","REGION XI (DAVAO REGION)","110000000","DAVAO DEL SUR","112400000","HAGONOY","112404000","SAN ISIDRO","112404024","8006"," "," "," "," "," "," ","LANTACO","CHERYL","G.","Rural Health Midwife","","",""
"DOH000000000000017","17","RURAL HEALTH UNIT OF CARAGA","CARAGA RURAL HEALTH UNIT","","","Rural Health Unit","Government","Local Government Unit","","NATIONAL HIGHWAY","","REGION XI (DAVAO REGION)","110000000","DAVAO ORIENTAL","112500000","CARAGA","112504000","POBLACION","112504010","8203","","","","rhucaraga@gmail.com","","","SANTOS","SARA JANE","BURGOS","Dentist","","",""
"DOH000000000000026","26","KIBLAWAN RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION XI (DAVAO REGION)","110000000","DAVAO DEL SUR","112400000","KIBLAWAN","112406000","POBLACION","112406023","8008"," "," "," "," "," "," ","MAMINGAO","LARRY","EJERCITO","Municipal Health Officer","","",""
"DOH000000000000035","35","LUPON RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","MUNICIPAL AVENUE"," ","REGION XI (DAVAO REGION)","110000000","DAVAO ORIENTAL","112500000","LUPON","112507000","POBLACION","112507028","8207","+63 878080393"," "," "," "," "," ","LARROBIS","BELEN","PADALLAN","Municipal Health Officer","","",""
"DOH000000000000036","36","BANAYBANAY RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION XI (DAVAO REGION)","110000000","DAVAO ORIENTAL","112500000","BANAYBANAY","112502000","POBLACION","112502012","8208"," "," "," "," "," "," ","ANDOY","NEMESIA","MEJOS","Municipal Health Officer","","",""
"DOH000000000000037","37","SANTO TOMAS MUNICIPAL HEALTH CENTER","SANTO TOMAS RURAL HEALTH UNIT"," "," ","Rural Health Unit","Government","Local Government Unit"," ","FD ROAD 3 NATIONAL HI-WAY"," ","REGION XI (DAVAO REGION)","110000000","DAVAO DEL NORTE","112300000","SANTO TOMAS","112318000","TIBAL-OG (POB.)","112318011","8112","+63 848290315"," "," "," "," "," ","LIM","JUNE","P.","Municipal Health Officer","","",""
"DOH000000000000054","54","MONKAYO RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","1 MATILLOSA STREET"," ","REGION XI (DAVAO REGION)","110000000","COMPOSTELA VALLEY","118200000","MONKAYO","118207000","POBLACION","118207013","8805"," "," "," "," "," "," ","CERBO","OLIVIA","L.","Municipal Health Officer","","",""
"DOH000000000000070","70","MATANAO RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION XI (DAVAO REGION)","110000000","DAVAO DEL SUR","112400000","MATANAO","112410000","POBLACION","112410026","8003"," "," "," "," "," "," ","ORNALES","PATRICIA","S. ","Municipal Health Officer","","",""
"DOH000000000000082","82","CALINAN DISTRICT HEALTH OFFICE","","","","Rural Health Unit","Government","Local Government Unit","","PUROK 17, CALINAN DISTRICT","","REGION XI (DAVAO REGION)","110000000","DAVAO DEL SUR","112400000","DAVAO CITY","112402000","CALINAN  (POB.)","112402026","8000","","","","","","","Marbas","Jojit","","Rural Health Physician","","",""
"DOH000000000000090","90","ASUNCION MUNICIPAL HEALTH OFFICE","ASUNCION RURAL HEALTH UNIT"," "," ","Rural Health Unit","Government","Local Government Unit"," ","PUROK 4"," ","REGION XI (DAVAO REGION)","110000000","DAVAO DEL NORTE","112300000","ASUNCION (SAUG)","112301000","CAMBANOGOY (POB.)","112301032","8102","+63 843730219"," "," ","thompsonuy@yahoo.com","mariviccastillo22@yahoo.com"," ","UY","THOMPSON","C.","Municipal Health Officer","","",""
"DOH000000000000127","127","BRAULIO E. DUJALI MUNICIPAL HEALTH CENTER","BRAULIO E. DUJALI RURAL HEALTH UNIT"," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION XI (DAVAO REGION)","110000000","DAVAO DEL NORTE","112300000","BRAULIO E. DUJALI","112323000","DUJALI","112323002","8100"," "," "," "," "," "," ","DEMAALA ","CHERRY","T.","Municipal Health Officer","","",""
"DOH000000000000168","168","CATEEL RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","HOSPITAL ROAD"," ","REGION XI (DAVAO REGION)","110000000","DAVAO ORIENTAL","112500000","CATEEL","112505000","POBLACION","112505019","8205"," "," "," ","mhocateel@yahoo.com"," "," ","VEROY, JR.","MODESTO","IROY","Municipal Health Officer","","",""
