Date and Time Downloaded : 04/20/2020 11:12:26 pm"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000000012","12","OUR LADY OF HOPE MEDICAL CLINIC AND HOSPITAL","","","","Infirmary","Private","","","NOTRE DAME AVENUE","","REGION XII (SOCCSKSA RGEN)","120000000","SULTAN KUDARAT","126500000","ESPERANZA","126503000","POBLACION","126503022","9806","+63 642026058","","","","","","GALAPATE","JESUS","ABALOS","Medical Director","With License","",""
"DOH000000000000038","38","LAKE SEBU RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","ROSAS STREET"," ","REGION XII (SOCCSKSA RGEN)","120000000","SOUTH COTABATO","126300000","LAKE SEBU","126319000","POBLACION","126319014","9512"," "," "," "," "," "," ","BAYQUIN","JOCELYN","PAJONAR","Municipal Health Officer","","",""
"DOH000000000000044","44","TUPI MUNICIPAL HEALTH OFFICE"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","GENSAN DRIVE, NATIONAL HIGHWAY"," ","REGION XII (SOCCSKSA RGEN)","120000000","SOUTH COTABATO","126300000","TUPI","126317000","POBLACION","126317013","9505","+63 832262827"," "," ","mesu_tupi@yahoo.com"," "," ","HATULAN","APOLINAR","BACUL","Municipal Health Officer","","",""
"DOH000000000000089","89","KORONADAL CITY HEALTH OFFICE","","","","Rural Health Unit","Government","Local Government Unit","","ALUNAN AVENUE CORNER BONIFACIO STREET","","REGION XII (SOCCSKSA RGEN)","120000000","SOUTH COTABATO","126300000","CITY OF KORONADAL (Capital)","126306000","ZONE II (POB.)","126306017","9506","+63 832282293","","+63 832283627","joy4nsv@yahoo.com","","","VEGO","EDITO","TIZON","City Health Officer","","",""
"DOH000000000000091","91","MAKILALA RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION XII (SOCCSKSA RGEN)","120000000","COTABATO (NORTH COTABATO)","124700000","MAKILALA","124707000","POBLACION","124707029","9401","+63 642682134"," "," "," "," "," ","TABORA","ARTHUR","H.","Municipal Health Officer","","",""
"DOH000000000000404","404","ANTIPAS MEDICAL SPECIALISTS HOSPITAL, INC.","CLINICA CATOTAL","","","Hospital","Private","","","F. CAJELO STREET","ANTIPAS MEDICAL SPECIALIST HOSPITAL, INC. BUILDING","REGION XII (SOCCSKSA RGEN)","120000000","COTABATO (NORTH COTABATO)","124700000","ANTIPAS","124715000","POBLACION","124715011","9414","+63 645230003","","","AMSHI022806@YAHOO.COM","","","DUARTE, JR.","RODRIGO","AGDEPPA","Medical Director","With License","Level 1",""
"DOH000000000000433","433","BIRHEN SA REGLA MEDICAL CLINIC","","","","Hospital","Private","","","NATIONAL HIGHWAY","","REGION XII (SOCCSKSA RGEN)","120000000","COTABATO (NORTH COTABATO)","124700000","TULUNAN","124714000","BUAL","124714005","9403","","","","birhenclinic@yahoo.com.ph","","","ALMIRANTE","AGUSTINA","A.","Medical Director","With License","Level 1","25"
"DOH000000000000455","455","CLINICA LUNTAO, INC.","CLINICA LUNTAO AND HOSPITAL","","","Infirmary","Private","","","ALBERT MARROW STREET","","REGION XII (SOCCSKSA RGEN)","120000000","SOUTH COTABATO","126300000","NORALA","126311000","POBLACION","126311013","9508","+63 832351005","+63 832387664","+63 832341110","clinicaluntao_8800@yahoo.com","","","LAUS","NORA","LOPEZ","Medical Director","With License","","13"
"DOH000000000000457","457","CODILLA-RAMOS CLINIC AND HOSPITAL","","","","Infirmary","Private","","","PUROL TAGUMPAY","","REGION XII (SOCCSKSA RGEN)","120000000","SULTAN KUDARAT","126500000","ESPERANZA","126503000","POBLACION","126503022","9806","+63 642026434","","","","","","LORENZO","ARLENE","RAMOS","Chief of Hospital","With License","",""
"DOH000000000000458","458","COTABATO PUERICULTURE CENTER AND GENERAL HOSPITAL FOUNDATION, INCORPORATED","","","","Hospital","Private","","","DON RUFINO ALONZO STREET","","REGION XII (SOCCSKSA RGEN)","120000000","COTABATO CITY (Not a Province)","129800000","COTABATO CITY","129804000","POBLACION V","129804015","9600","+63 644217323","","+63 644217525","","","","GIGUIENTO","DOLORES","N.","Chief of Hospital","With License","Level 1",""
