Date and Time Downloaded : 04/20/2020 10:54:58 pm"Health Facility Code","Health Facility Code Short","Facility Name","Old Health Facility Names","Old Health Facility Name 2","Old Health Facility Name 3","Health Facility Type","Ownership Major Classification","Ownership Sub-Classification for Government facilities","Ownership Sub-Classification for private facilities","Street Name and #           ","Building name and #","Region Name","Region PSGC","Province Name","Province PSGC","City/Municipality Name","City/Municipality PSGC","Barangay Name","Barangay PSGC","Zip Code","Landline Number","Landline Number 2","Fax Number","Email Address","Alternate Email Address","Official Website","Facility Head: Last Name","Facility Head: First Name","Facility Head: Middle Name","Facility Head: Position","Hospital Licensing Status","Service Capability","Bed Capacity"
"DOH000000000000019","19","LA PAZ MUNICIPAL HOSPITAL","","","","Infirmary","Government","Local Government Unit","","","","REGION XIII (CARAGA)","160000000","AGUSAN DEL SUR","160300000","LA PAZ","160304000","POBLACION","160304006","8508","","","","","","","ENCENDENCIA","HAIRAM","R.","Chief of Hospital","With License","","10"
"DOH000000000000045","45","CANTILAN MUNICIPAL HEALTH OFFICE AND FAMILY PLANNING CENTER","CANTILAN RURAL HEALTH UNIT AND FAMILY PLANNING CENTER","","","Rural Health Unit","Government","Local Government Unit","","URBIZTONDO STREET, PUROK 5","","REGION XIII (CARAGA)","160000000","SURIGAO DEL SUR","166800000","CANTILAN","166805000","MAGOSILOM (POB.)","166805011","8317","+63 862125221","","","CANTILAN_MHO@YAHOO.COM","","","CRUIZ","TOMAS","BUCHAN","Municipal Health Officer","","",""
"DOH000000000000051","51","BAROBO MUNICIPAL HEALTH OFFICE","BAROBO RURAL HEALTH UNIT","","","Rural Health Unit","Government","Local Government Unit","","PUROK 1, TOWNSITE","","REGION XIII (CARAGA)","160000000","SURIGAO DEL SUR","166800000","BAROBO","166801000","POBLACION","166801015","8309","","","","BAROBO_MHO@YAHOO.COM","","","PAMA","JOEL","SORIANO","Municipal Health Officer","","",""
"DOH000000000000058","58","LANUZA RURAL HEALTH UNIT","","","","Rural Health Unit","Government","Local Government Unit","","","","REGION XIII (CARAGA)","160000000","SURIGAO DEL SUR","166800000","LANUZA","166810000","ZONE II (POB.)","166810018","8314","+63 862128207","","","Virnakhrisna.m@gmail.com","","","ZARRAGA","EMMANUEL","HERRERA","Municipal Health Officer","","",""
"DOH000000000000076","76","POBLACION BISLIG HEALTH CENTER","","","","Rural Health Unit","Government","Local Government Unit","","MONTERO STREET","","REGION XIII (CARAGA)","160000000","SURIGAO DEL SUR","166800000","CITY OF BISLIG","166803000","POBLACION","166803012","8311","+63 868534393","","","","","","TAYKO","DIOINESIO","VILLAMIL","Rural Health Physician","","",""
"DOH000000000000078","78","TRENTO RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION XIII (CARAGA)","160000000","AGUSAN DEL SUR","160300000","TRENTO","160312000"," "," ","8505","+63 852552480"," ","+63 852552415"," "," "," ","SALVATIERRA","ALLEN","R.","Municipal Health Officer","","",""
"DOH000000000000079","79","SAN FRANCISCO RURAL HEALTH UNIT"," "," "," ","Rural Health Unit","Government","Local Government Unit"," "," "," ","REGION XIII (CARAGA)","160000000","AGUSAN DEL SUR","160300000","SAN FRANCISCO","160308000","BARANGAY 4 (POB.)","160308018","8501","+63 853631444"," ","+63 858391240"," "," "," ","TAN","SUSAN","P.","Municipal Health Officer","","",""
"DOH000000000000139","139","LIBJO RURAL HEALTH AND FAMILY PLANNING CENTER","ALBOR RURAL HEALTH AND FAMILY PLANNING CENTER","","","Rural Health Unit","Government","Local Government Unit","","PUROK 3","","REGION XIII (CARAGA)","160000000","DINAGAT ISLANDS","168500000","LIBJO (ALBOR)","168504000","ALBOR (POB.)","168504001","8414","","","","","","","ARAY","SURLEY II","G.","Municipal Health Officer","","",""
"DOH000000000000141","141","ALEGRIA RURAL HEALTH UNIT","RURAL HEALTH UNIT AND FAMILY PLANNING CENTER"," "," ","Rural Health Unit","Government","Local Government Unit"," ","PUROK 1"," ","REGION XIII (CARAGA)","160000000","SURIGAO DEL NORTE","166700000","ALEGRIA","166701000","GAMUTON","166701012","8425"," "," "," ","xiancabatchete@yahoo.com"," "," ","CABATCHETE","XIAN","D.","Municipal Health Officer","","",""
"DOH000000000000169","169","SAN MIGUEL MUNICIPAL HEALTH OFFICE AND REPRODUCTIVE HEALTH CENTER"," "," "," ","Rural Health Unit","Government","Local Government Unit"," ","PUROK 2"," ","REGION XIII (CARAGA)","160000000","SURIGAO DEL SUR","166800000","SAN MIGUEL","166816000","POBLACION","166816013","8301"," "," "," ","hannahdapar@yahoo.com"," "," ","DAPAR","HANNAH","MAHINAY","Municipal Health Officer","","",""
