City or municipality,Population,Area,PD,Barangay,Class,Province,,,
Bangued,48163,105.7,456,31,Mun,Abra,,,
Boliney,3573,216.92,16,8,Mun,Abra,,,
Bucay,17115,107.17,160,21,Mun,Abra,,,
Bucloc,2501,63.77,39,4,Mun,Abra,,,
Daguioman,2088,114.37,18,4,Mun,Abra,,,
Danglas,4192,156.02,27,7,Mun,Abra,,,
Dolores,11315,47.45,238,15,Mun,Abra,,,
La Paz,15437,51.41,300,12,Mun,Abra,,,
Lacub,3403,295.3,12,6,Mun,Abra,,,
Lagangilang,14255,101.44,141,17,Mun,Abra,,,
Lagayan,4499,215.97,21,5,Mun,Abra,,,
Langiden,3198,116.29,28,6,Mun,Abra,,,
Licuan-Baay (Licuan),4689,256.42,18,11,Mun,Abra,,,
Luba,6339,148.27,43,8,Mun,Abra,,,
Malibcong,3428,283.17,12,12,Mun,Abra,,,
Manabo,10761,110.95,97,11,Mun,Abra,,,
Peñarrubia,6640,38.29,173,9,Mun,Abra,,,
Pidigan,12185,49.15,248,15,Mun,Abra,,,
Pilar,10223,66.1,155,19,Mun,Abra,,,
Sallapadan,6622,128.62,51,9,Mun,Abra,,,
San Isidro,4574,48.07,95,9,Mun,Abra,,,
San Juan,9867,64.08,154,19,Mun,Abra,,,
San Quintin,5438,66.59,82,6,Mun,Abra,,,
Tayum,14467,61.14,237,11,Mun,Abra,,,
Tineg,5097,744.8,7,10,Mun,Abra,,,
Tubo,5699,409.87,14,10,Mun,Abra,,,
Villaviciosa,5392,102.93,52,8,Mun,Abra,,,
Buenavista,61614,475.61,130,25,Mun,Agusan del Norte,,,
Butuan,337063,816.62,413,86,HUC,Agusan del Norte,,,
Cabadbaran,73639,214.44,343,31,CC,Agusan del Norte,,,
Carmen,20839,311.02,67,8,Mun,Agusan del Norte,,,
Jabonga,23184,293,79,15,Mun,Agusan del Norte,,,
Kitcharao,18659,171.92,109,11,Mun,Agusan del Norte,,,
Las Nieves,28414,582.69,49,20,Mun,Agusan del Norte,,,
Magallanes,21007,44.31,474,8,Mun,Agusan del Norte,,,
Nasipit,41957,144.4,291,19,Mun,Agusan del Norte,,,
Remedios T. Romualdez,16058,79.15,203,8,Mun,Agusan del Norte,,,
Santiago,24200,275.61,88,8,Mun,Agusan del Norte,,,
Tubay,24932,138.09,181,13,Mun,Agusan del Norte,,,
Bayugan,103202,688.77,150,43,CC,Agusan del Sur,,,
Bunawan,45151,512.16,88,10,Mun,Agusan del Sur,,,
Esperanza,54801,1355.48,40,47,Mun,Agusan del Sur,,,
La Paz,28217,1481.12,19,15,Mun,Agusan del Sur,,,
Loreto,42501,1462.74,29,17,Mun,Agusan del Sur,,,
Prosperidad,82631,505.15,164,32,Mun,Agusan del Sur,,,
Rosario,46683,385.05,121,11,Mun,Agusan del Sur,,,
San Francisco,74542,392.53,190,27,Mun,Agusan del Sur,,,
San Luis,32109,950.5,34,25,Mun,Agusan del Sur,,,
Santa Josefa,26729,341.8,78,11,Mun,Agusan del Sur,,,
Sibagat,30442,567.82,54,24,Mun,Agusan del Sur,,,
Talacogon,38374,405.25,95,16,Mun,Agusan del Sur,,,
Trento,51565,555.7,93,16,Mun,Agusan del Sur,,,
Veruela,43706,385.45,113,20,Mun,Agusan del Sur,,,
Altavas,24619,109.05,226,14,Mun,Aklan,,,
Balete,28920,118.93,243,10,Mun,Aklan,,,
Banga,39505,84.53,467,30,Mun,Aklan,,,
Batan,32032,79.22,404,20,Mun,Aklan,,,
Buruanga,19003,88.5,215,15,Mun,Aklan,,,
Ibajay,49564,158.9,312,35,Mun,Aklan,,,
Kalibo,80605,50.75,1588,16,Mun,Aklan,,,
Lezo,15224,23.4,651,12,Mun,Aklan,,,
Libacao,28241,254.98,111,24,Mun,Aklan,,,
Madalag,18389,269.6,68,25,Mun,Aklan,,,
Makato,27262,64.6,422,18,Mun,Aklan,,,
Malay,52973,66.01,802,17,Mun,Aklan,,,
Malinao,23194,186.01,125,23,Mun,Aklan,,,
Nabas,36435,96.82,376,20,Mun,Aklan,,,
New Washington,45007,66.69,675,16,Mun,Aklan,,,
Numancia,31934,28.84,1107,17,Mun,Aklan,,,
Tangalan,21916,74.59,294,15,Mun,Aklan,,,
Bacacay,68906,122.13,564,56,Mun,Albay,,,
Camalig,66904,130.9,511,50,Mun,Albay,,,
Daraga (Locsin),126595,118.64,1067,54,Mun,Albay,,,
Guinobatan,82361,244.43,337,44,Mun,Albay,,,
Jovellar,17308,105.4,164,23,Mun,Albay,,,
Legazpi,196639,153.7,1279,70,CC,Albay,,,
Libon,75172,222.76,337,47,Mun,Albay,,,
Ligao,111399,246.75,451,55,CC,Albay,,,
Malilipot,37785,44.13,856,18,Mun,Albay,,,
Malinao,45301,107.5,421,29,Mun,Albay,,,
Manito,24707,107.4,230,15,Mun,Albay,,,
Oas,67960,263.61,258,53,Mun,Albay,,,
Pio Duran,46693,133.7,349,33,Mun,Albay,,,
Polangui,88221,145.3,607,44,Mun,Albay,,,
Rapu-Rapu,36920,155.3,238,34,Mun,Albay,,,
Santo Domingo,34967,51.22,683,23,Mun,Albay,,,
Tabaco,133868,117.14,1143,47,CC,Albay,,,
Tiwi,53120,105.76,474,25,Mun,Albay,,,
Anini-y,21201,66.17,320,23,Mun,Antique,,,
Barbaza,22704,154.36,147,39,Mun,Antique,,,
Belison,13539,19.78,684,11,Mun,Antique,,,
Bugasong,33642,203.71,165,27,Mun,Antique,,,
Caluya,35496,132.13,269,18,Mun,Antique,,,
Culasi,41228,228.56,180,44,Mun,Antique,,,
Hamtic,48592,113.03,430,47,Mun,Antique,,,
Laua-an,26072,100.72,259,40,Mun,Antique,,,
Libertad,16429,97,169,19,Mun,Antique,,,
Pandan,34333,113.98,301,34,Mun,Antique,,,
Patnongon,37176,167.92,221,36,Mun,Antique,,,
San Jose de Buenavista,62534,48.56,1288,28,Mun,Antique,,,
San Remigio,31935,406.98,78,45,Mun,Antique,,,
Sebaste,17907,111.64,160,10,Mun,Antique,,,
Sibalom,60306,201.3,300,76,Mun,Antique,,,
Tibiao,26748,177.42,151,21,Mun,Antique,,,
Tobias Fornier (Dao),33046,112.12,295,50,Mun,Antique,,,
Valderrama,19124,273.79,70,22,Mun,Antique,,,
Calanasan,12604,1256.15,10,18,Mun,Apayao,,,
Conner,26051,694.3,38,21,Mun,Apayao,,,
Flora,17391,324.4,54,16,Mun,Apayao,,,
Kabugao,15537,935.12,17,21,Mun,Apayao,,,
Luna,19063,606.04,31,22,Mun,Apayao,,,
Pudtol,14925,401.02,37,22,Mun,Apayao,,,
Santa Marcela,13613,196.32,69,13,Mun,Apayao,,,
Baler,39562,92.55,427,13,Mun,Aurora,,,
Casiguran,24313,715.43,34,24,Mun,Aurora,,,
Dilasag,15835,306.25,52,11,Mun,Aurora,,,
Dinalungan,11322,316.85,36,9,Mun,Aurora,,,
Dingalan,25482,304.55,84,11,Mun,Aurora,,,
Dipaculao,29736,361.64,82,25,Mun,Aurora,,,
Maria Aurora,40734,426.19,96,40,Mun,Aurora,,,
San Luis,27352,623.86,44,18,Mun,Aurora,,,
Akbar,17531,181,97,9,Mun,Basilan,,,
Al-Barka,20905,72.58,288,16,Mun,Basilan,,,
Hadji Mohammad Ajul,19307,41.02,471,11,Mun,Basilan,,,
Hadji Muhtamad,25085,173.22,140,10,Mun,Basilan,,,
Isabela City,112788,223.73,504,45,CC,Basilan,,,
Lamitan,74782,0,0,45,CC,Basilan,,,
Lantawan,24594,305.84,80,25,Mun,Basilan,,,
Maluso,40646,168.46,241,20,Mun,Basilan,,,
Sumisip,41730,0,0,29,Mun,Basilan,,,
Tabuan-Lasa,24188,64.95,372,12,Mun,Basilan,,,
Tipo-Tipo,19163,49.70,386,11,Mun,Basilan,,,
Tuburan,20207,0,0,10,Mun,Basilan,,,
Ungkaya Pukan,18441,96.13,192,12,Mun,Basilan,,,
Abucay,39880,79.72,500,9,Mun,Bataan,,,
Bagac,26936,231.2,117,14,Mun,Bataan,,,
Balanga,96061,111.63,861,25,CC,Bataan,,,
Dinalupihan,106371,92.52,1150,46,Mun,Bataan,,,
Hermosa,65862,157,420,23,Mun,Bataan,,,
Limay,68071,103.6,657,12,Mun,Bataan,,,
Mariveles,127536,153.9,829,18,Mun,Bataan,,,
Morong,29901,219.2,136,5,Mun,Bataan,,,
Orani,66909,64.9,1031,29,Mun,Bataan,,,
Orion,56002,65.41,856,23,Mun,Bataan,,,
Pilar,41823,37.6,1112,19,Mun,Bataan,,,
Samal,35298,56.3,627,14,Mun,Bataan,,,
Basco,8579,49.46,173,6,Mun,Batanes,,,
Itbayat,2867,83.13,34,5,Mun,Batanes,,,
Ivana,1327,16.54,80,4,Mun,Batanes,,,
