code,interlevel,location,original
010000000,Reg,REGION I,False
010000000,Reg,ILOCOS REGION,False
010000000,Reg,REGION I (ILOCOS REGION),True
010000000,Reg,REGION 1,False
012800000,Prov,ILOCOS NORTE,True
012801000,Mun,ADAMS,True
012801001,Bgy,Adams (Pob.),False
012802000,Mun,BACARRA,True
012802001,Bgy,Bani,True
012802002,Bgy,Buyon,True
012802003,Bgy,Cabaruan,True
012802004,Bgy,Cabulalaan,True
012802005,Bgy,Cabusligan,True
012802006,Bgy,Cadaratan,True
012802007,Bgy,Calioet-Libong,True
012802008,Bgy,Casilian,True
012802009,Bgy,Corocor,True
012802011,Bgy,Duripes,True
012802012,Bgy,Ganagan,True
012802013,Bgy,Libtong,True
012802014,Bgy,Macupit,True
012802015,Bgy,Nambaran,True
012802016,Bgy,Natba,True
012802017,Bgy,Paninaan,True
012802018,Bgy,Pasiocan,True
012802019,Bgy,Pasngal,True
012802020,Bgy,Pipias,True
012802021,Bgy,Pulangi,True
012802022,Bgy,Pungto,True
012802024,Bgy,San Agustin 1,False
012802024,Bgy,San Agustin I (Pob.),False
012802024,Bgy,San Agustin I,True
012802025,Bgy,San Agustin II,True
012802025,Bgy,San Agustin 2,False
012802025,Bgy,San Agustin II (Pob.),False
012802027,Bgy,San Andres I (Pob.),False
012802027,Bgy,San Andres I,True
012802027,Bgy,San Andres 1,False
012802028,Bgy,San Andres II (Pob.),False
012802028,Bgy,San Andres 2,False
012802028,Bgy,San Andres II,True
012802030,Bgy,San Gabriel 1,False
012802030,Bgy,San Gabriel I (Pob.),False
012802030,Bgy,San Gabriel I,True
012802031,Bgy,San Gabriel II,True
012802031,Bgy,San Gabriel 2,False
012802031,Bgy,San Gabriel II (Pob.),False
012802033,Bgy,San Pedro I,True
012802033,Bgy,San Pedro I (Pob.),False
012802033,Bgy,San Pedro 1,False
012802034,Bgy,San Pedro II,True
012802034,Bgy,San Pedro II (Pob.),False
012802034,Bgy,San Pedro 2,False
012802036,Bgy,San Roque 1,False
012802036,Bgy,San Roque I,True
012802036,Bgy,San Roque I (Pob.),False
012802037,Bgy,San Roque 2,False
012802037,Bgy,San Roque II (Pob.),False
012802037,Bgy,San Roque II,True
012802039,Bgy,San Simon 1,False
012802039,Bgy,San Simon I,True
012802039,Bgy,San Simon I (Pob.),False
012802040,Bgy,San Simon II (Pob.),False
012802040,Bgy,San Simon 2,False
012802040,Bgy,San Simon II,True
012802041,Bgy,San Vicente,True
012802041,Bgy,San Vicente (Pob.),False
012802042,Bgy,Sangil,True
012802044,Bgy,Santa Filomena I,True
012802044,Bgy,Santa Filomena I (Pob.),False
012802044,Bgy,Santa Filomena 1,False
012802045,Bgy,Santa Filomena 2,False
012802045,Bgy,Santa Filomena II,True
012802045,Bgy,Santa Filomena II (Pob.),False
012802046,Bgy,Santa Rita (Pob.),False
012802046,Bgy,Santa Rita,True
012802047,Bgy,Santo Cristo 1,False
012802047,Bgy,Santo Cristo I (Pob.),False
012802047,Bgy,Santo Cristo I,True
012802048,Bgy,Santo Cristo II,True
012802048,Bgy,Santo Cristo 2,False
012802048,Bgy,Santo Cristo II (Pob.),False
012802050,Bgy,Tambidao,True
012802051,Bgy,Teppang,True
012802052,Bgy,Tubburan,True
012803000,Mun,BADOC,True
012803001,Bgy,Alay-Nangbabaan,True
012803001,Bgy,Alay 15-B,True
012803001,Bgy,Alay-Nangbabaan (Alay 15-B),True
012803002,Bgy,Alogoog,True
012803003,Bgy,Ar-arusip,True
012803004,Bgy,Aring,True
