,Unnamed: 0,index,location,Population,Area,PD,Province,code,provCode,lat,lon,minIndex,closestDistance
0,0,0,BANGUED,48163.0,105.7,456.0,Abra,140101000,140100000,17.5881847,120.63149479999998,32,1.4241645431747576
1,1,1,BOLINEY,3573.0,216.92,16.0,Abra,140102000,140100000,17.3674569,120.8728615,54,30.268890451699974
2,2,2,BUCAY,17115.0,107.17,160.0,Abra,140103000,140100000,17.530188600000002,120.7234992,32,13.492833565944068
3,3,3,BUCLOC,2501.0,63.77,39.0,Abra,140104000,140100000,17.4437463,120.84225479999999,32,29.78425024037176
4,4,4,DAGUIOMAN,2088.0,114.37,18.0,Abra,140105000,140100000,17.4361335,120.9646866,43,36.10231698594843
5,5,5,DANGLAS,4192.0,156.02,27.0,Abra,140106000,140100000,17.7449596,120.6429991,57,15.569832059944932
6,6,6,DOLORES,11315.0,47.45,238.0,Abra,140107000,140100000,17.6507819,120.7292472,57,13.255872544848668
7,7,7,LA PAZ,15437.0,51.41,300.0,Abra,140108000,140100000,17.647733399999996,120.65450220000001,57,6.065991249256409
8,8,8,LACUB,3403.0,295.3,12.0,Abra,140109000,140100000,17.689361399999996,120.9646866,32,39.518114702253335
9,9,9,LAGANGILANG,14255.0,101.44,141.0,Abra,140110000,140100000,17.624060999999998,120.79245800000001,32,19.268897398903757
10,10,10,LAGAYAN,4499.0,215.97,21.0,Abra,140111000,140100000,17.771433899999998,120.734995,57,22.39787847629728
11,11,11,LANGIDEN,3198.0,116.29,28.0,Abra,140112000,140100000,17.6038662,120.5394232,35,8.465509321611194
12,12,12,LICUAN-BAAY,4689.0,256.42,18.0,Abra,140113000,140100000,17.5785363,120.8728615,32,28.002603939621366
13,13,13,LUBA,6339.0,148.27,43.0,Abra,140114000,140100000,17.3141801,120.6890055,77,23.695248442617494
14,14,14,MALIBCONG,3428.0,283.17,12.0,Abra,140115000,140100000,17.596974300000003,121.0105733,398,40.50610658694367
15,15,15,MANABO,10761.0,110.95,97.0,Abra,140116000,140100000,17.390888,120.734995,32,26.019613150074015
16,16,16,PEÑARRUBIA,6640.0,38.29,173.0,Abra,140117000,140100000,17.541953600000003,120.65450220000001,32,7.030159378557017
17,17,17,PIDIGAN,12185.0,49.15,248.0,Abra,140118000,140100000,17.536444699999997,120.56244740000001,35,9.072987564654063
18,18,18,PILAR,10223.0,66.1,155.0,Abra,140119000,140100000,17.384467100000002,120.58546740000001,77,11.670861644692337
19,19,19,SALLAPADAN,6622.0,128.62,51.0,Abra,140120000,140100000,17.4925404,120.76196780000001,32,19.38115697274667
20,20,20,SAN ISIDRO,4574.0,48.07,95.0,Abra,140121000,140100000,17.4800566,120.6142365,32,12.872023562062855
21,21,21,SAN JUAN,9867.0,64.08,154.0,Abra,140122000,140100000,17.680917899999997,120.7315061,57,15.02455074182744
22,22,22,SAN QUINTIN,5438.0,66.59,82.0,Abra,140123000,140100000,17.523080399999998,120.51639490000001,118,12.727974210661046
23,23,23,TAYUM,14467.0,61.14,237.0,Abra,140124000,140100000,17.6014831,120.6775054,32,6.28391582052117
24,24,24,TINEG,5097.0,744.8,7.0,Abra,140125000,140100000,17.8412338,120.9417368,94,35.44542319201844
25,25,25,TUBO,5699.0,409.87,14.0,Abra,140126000,140100000,17.265891,120.84989440000001,54,18.9454152598178
26,26,26,VILLAVICIOSA,5392.0,102.93,52.0,Abra,140127000,140100000,17.3939539,120.65450220000001,77,19.402190345052276
27,27,27,BUENAVISTA,61614.0,475.61,130.0,Agusan Del Norte,160201000,160200000,8.7859265,125.3685679,1477,23.551108946269622
28,28,28,BUTUAN,337063.0,816.62,413.0,Agusan Del Norte,160202000,160200000,8.9475377,125.54062340000002,1466,0.05446451507709413
29,29,29,CABADBARAN,73639.0,214.44,343.0,Agusan Del Norte,160203000,160200000,9.1221925,125.537603,1481,0.613605461301639
30,30,30,CARMEN,20839.0,311.02,67.0,Agusan Del Norte,160204000,160200000,8.9387242,125.2478112,1254,20.073237564322426
31,31,31,JABONGA,23184.0,293,79.0,Agusan Del Norte,160205000,160200000,9.3293601,125.5529398,1481,23.03649296286517
32,32,32,KITCHARAO,18659.0,171.92,109.0,Agusan Del Norte,160206000,160200000,9.4206582,125.620484,1480,24.431456263476257
33,33,33,LAS NIEVES,28414.0,582.69,49.0,Agusan Del Norte,160207000,160200000,8.665107899999999,125.4562795,1482,31.528844534333313
34,34,34,MAGALLANES,21007.0,44.31,474.0,Agusan Del Norte,160208000,160200000,9.0356432,125.5548422,1476,2.986585178634644
35,35,35,NASIPIT,41957.0,144.4,291.0,Agusan Del Norte,160209000,160200000,8.9714897,125.35182240000002,1477,17.244609720209464
