,index,location,Population,Area,PD,Province,code,provCode,lat,lon
0,0,BANGUED,48163.0,105.7,456.0,Abra,140101000,140100000,17.5881847,120.6314948
1,1,BOLINEY,3573.0,216.92,16.0,Abra,140102000,140100000,17.3674569,120.8728615
2,2,BUCAY,17115.0,107.17,160.0,Abra,140103000,140100000,17.5301886,120.7234992
3,3,BUCLOC,2501.0,63.77,39.0,Abra,140104000,140100000,17.4437463,120.8422548
4,4,DAGUIOMAN,2088.0,114.37,18.0,Abra,140105000,140100000,17.4361335,120.9646866
5,5,DANGLAS,4192.0,156.02,27.0,Abra,140106000,140100000,17.7449596,120.6429991
6,6,DOLORES,11315.0,47.45,238.0,Abra,140107000,140100000,17.6507819,120.7292472
7,7,LA PAZ,15437.0,51.41,300.0,Abra,140108000,140100000,17.6477334,120.6545022
8,8,LACUB,3403.0,295.3,12.0,Abra,140109000,140100000,17.6893614,120.9646866
9,9,LAGANGILANG,14255.0,101.44,141.0,Abra,140110000,140100000,17.624061,120.792458
10,10,LAGAYAN,4499.0,215.97,21.0,Abra,140111000,140100000,17.7714339,120.734995
11,11,LANGIDEN,3198.0,116.29,28.0,Abra,140112000,140100000,17.6038662,120.5394232
12,12,LICUAN-BAAY,4689.0,256.42,18.0,Abra,140113000,140100000,17.5785363,120.8728615
13,13,LUBA,6339.0,148.27,43.0,Abra,140114000,140100000,17.3141801,120.6890055
14,14,MALIBCONG,3428.0,283.17,12.0,Abra,140115000,140100000,17.5969743,121.0105733
15,15,MANABO,10761.0,110.95,97.0,Abra,140116000,140100000,17.390888,120.734995
16,16,PEÑARRUBIA,6640.0,38.29,173.0,Abra,140117000,140100000,17.5419536,120.6545022
17,17,PIDIGAN,12185.0,49.15,248.0,Abra,140118000,140100000,17.5364447,120.5624474
18,18,PILAR,10223.0,66.1,155.0,Abra,140119000,140100000,17.3844671,120.5854674
19,19,SALLAPADAN,6622.0,128.62,51.0,Abra,140120000,140100000,17.4925404,120.7619678
20,20,SAN ISIDRO,4574.0,48.07,95.0,Abra,140121000,140100000,17.4800566,120.6142365
21,21,SAN JUAN,9867.0,64.08,154.0,Abra,140122000,140100000,17.6809179,120.7315061
22,22,SAN QUINTIN,5438.0,66.59,82.0,Abra,140123000,140100000,17.5230804,120.5163949
23,23,TAYUM,14467.0,61.14,237.0,Abra,140124000,140100000,17.6014831,120.6775054
24,24,TINEG,5097.0,744.8,7.0,Abra,140125000,140100000,17.8412338,120.9417368
25,25,TUBO,5699.0,409.87,14.0,Abra,140126000,140100000,17.265891,120.8498944
26,26,VILLAVICIOSA,5392.0,102.93,52.0,Abra,140127000,140100000,17.3939539,120.6545022
27,27,BUENAVISTA,61614.0,475.61,130.0,Agusan Del Norte,160201000,160200000,8.7859265,125.3685679
28,28,BUTUAN,337063.0,816.62,413.0,Agusan Del Norte,160202000,160200000,8.9475377,125.5406234
29,29,CABADBARAN,73639.0,214.44,343.0,Agusan Del Norte,160203000,160200000,9.122192499999999,125.537603
30,30,CARMEN,20839.0,311.02,67.0,Agusan Del Norte,160204000,160200000,8.9387242,125.2478112
31,31,JABONGA,23184.0,293,79.0,Agusan Del Norte,160205000,160200000,9.329360099999999,125.5529398
32,32,KITCHARAO,18659.0,171.92,109.0,Agusan Del Norte,160206000,160200000,9.4206582,125.620484
33,33,LAS NIEVES,28414.0,582.69,49.0,Agusan Del Norte,160207000,160200000,8.665107899999999,125.4562795
34,34,MAGALLANES,21007.0,44.31,474.0,Agusan Del Norte,160208000,160200000,9.035643199999999,125.5548422
35,35,NASIPIT,41957.0,144.4,291.0,Agusan Del Norte,160209000,160200000,8.9714897,125.3518224
36,36,REMEDIOS T. ROMUALDEZ,16058.0,79.15,203.0,Agusan Del Norte,160212000,160200000,9.060744399999999,125.6642155
37,37,SANTIAGO,24200.0,275.61,88.0,Agusan Del Norte,160210000,160200000,9.2416621,125.6314191
38,38,TUBAY,24932.0,138.09,181.0,Agusan Del Norte,160211000,160200000,9.2036187,125.5548422
39,39,BAYUGAN,103202.0,688.77,150.0,Agusan Del Sur,160301000,160300000,8.7143526,125.7480952
40,40,BUNAWAN,45151.0,512.16,88.0,Agusan Del Sur,160302000,160300000,8.216467399999999,126.0458437
41,41,ESPERANZA,54801.0,1355.48,40.0,Agusan Del Sur,160303000,160300000,8.5655111,125.5220012
42,42,LA PAZ,28217.0,1481.12,19.0,Agusan Del Sur,160304000,160300000,8.2611393,125.6095474
43,43,LORETO,42501.0,1462.74,29.0,Agusan Del Sur,160305000,160300000,8.1855481,125.8540117
