,location,Population,Area,PD,Barangay,interlevel,Province,code,original
0,BANGUED,48163,105.7,456,31,Mun,Abra,140101000.0,True
1,BOLINEY,3573,216.92,16,8,Mun,Abra,140102000.0,True
2,BUCAY,17115,107.17,160,21,Mun,Abra,140103000.0,True
3,BUCLOC,2501,63.77,39,4,Mun,Abra,140104000.0,True
4,DAGUIOMAN,2088,114.37,18,4,Mun,Abra,140105000.0,True
5,DANGLAS,4192,156.02,27,7,Mun,Abra,140106000.0,True
6,DOLORES,11315,47.45,238,15,Mun,Abra,45615000.0,True
7,DOLORES,11315,47.45,238,15,Mun,Abra,82606000.0,True
8,DOLORES,11315,47.45,238,15,Mun,Abra,140107000.0,True
9,LA PAZ,15437,51.41,300,12,Mun,Abra,36907000.0,True
10,LA PAZ,15437,51.41,300,12,Mun,Abra,83728000.0,True
11,LA PAZ,15437,51.41,300,12,Mun,Abra,140108000.0,True
12,LA PAZ,15437,51.41,300,12,Mun,Abra,160304000.0,True
13,LACUB,3403,295.3,12,6,Mun,Abra,140109000.0,True
14,LAGANGILANG,14255,101.44,141,17,Mun,Abra,140110000.0,True
15,LAGAYAN,4499,215.97,21,5,Mun,Abra,140111000.0,True
16,LANGIDEN,3198,116.29,28,6,Mun,Abra,140112000.0,True
17,LICUAN-BAAY (LICUAN),4689,256.42,18,11,Mun,Abra,140113000.0,True
18,LUBA,6339,148.27,43,8,Mun,Abra,140114000.0,True
19,MALIBCONG,3428,283.17,12,12,Mun,Abra,140115000.0,True
20,MANABO,10761,110.95,97,11,Mun,Abra,140116000.0,True
21,PEÑARRUBIA,6640,38.29,173,9,Mun,Abra,140117000.0,True
22,PIDIGAN,12185,49.15,248,15,Mun,Abra,140118000.0,True
23,PILAR,10223,66.1,155,19,Mun,Abra,30811000.0,True
24,PILAR,10223,66.1,155,19,Mun,Abra,56213000.0,True
25,PILAR,10223,66.1,155,19,Mun,Abra,61911000.0,True
26,PILAR,10223,66.1,155,19,Mun,Abra,71234000.0,True
27,PILAR,10223,66.1,155,19,Mun,Abra,72236000.0,True
28,PILAR,10223,66.1,155,19,Mun,Abra,140119000.0,True
29,PILAR,10223,66.1,155,19,Mun,Abra,166716000.0,True
30,SALLAPADAN,6622,128.62,51,9,Mun,Abra,140120000.0,True
31,SAN ISIDRO,4574,48.07,95,9,Mun,Abra,23129000.0,True
32,SAN ISIDRO,4574,48.07,95,9,Mun,Abra,34925000.0,True
33,SAN ISIDRO,4574,48.07,95,9,Mun,Abra,71237000.0,True
34,SAN ISIDRO,4574,48.07,95,9,Mun,Abra,83742000.0,True
35,SAN ISIDRO,4574,48.07,95,9,Mun,Abra,84818000.0,True
36,SAN ISIDRO,4574,48.07,95,9,Mun,Abra,112324000.0,True
