,location,code,PSGC,Municipality/City,Poverty
0,BANGUED,140101000,140101000.0,Bangued,10.3
1,BOLINEY,140102000,140102000.0,Boliney,18.8
2,BUCAY,140103000,140103000.0,Bucay,15.8
3,BUCLOC,140104000,140104000.0,Bucloc,21.0
4,DAGUIOMAN,140105000,140105000.0,Daguioman,30.3
5,DANGLAS,140106000,140106000.0,Danglas,21.4
6,DOLORES,140107000,140107000.0,Dolores,16.3
7,LA PAZ,140108000,140108000.0,La Paz,19.3
8,LACUB,140109000,140109000.0,Lacub,27.1
9,LAGANGILANG,140110000,140110000.0,Lagangilang,22.4
10,LAGAYAN,140111000,140111000.0,Lagayan,27.2
11,LANGIDEN,140112000,140112000.0,Langiden,17.4
12,LICUAN-BAAY,140113000,140113000.0,Licuan-Baay (Licuan),27.7
13,LICUAN-BAAY,140113000,140113000.0,Licuan-Baay (Licuan),27.7
14,LICUAN,140113000,140113000.0,Licuan-Baay (Licuan),27.7
15,LICUAN,140113000,140113000.0,Licuan-Baay (Licuan),27.7
16,LUBA,140114000,140114000.0,Luba,18.4
17,MALIBCONG,140115000,140115000.0,Malibcong,44.5
18,MANABO,140116000,140116000.0,Manabo,15.7
19,PEÑARRUBIA,140117000,140117000.0,Peñarrubia,18.3
20,PIDIGAN,140118000,140118000.0,Pidigan,14.8
21,PILAR,140119000,140119000.0,Pilar,18.3
22,SALLAPADAN,140120000,140120000.0,Sallapadan,15.3
23,SAN ISIDRO,140121000,140121000.0,San Isidro,17.2
24,SAN JUAN,140122000,140122000.0,San Juan,16.8
25,SAN QUINTIN,140123000,140123000.0,San Quintin,11.6
26,TAYUM,140124000,140124000.0,Tayum,15.5
27,TINEG,140125000,140125000.0,Tineg,35.8
28,TUBO,140126000,140126000.0,Tubo,30.5
29,VILLAVICIOSA,140127000,140127000.0,Villaviciosa,14.3
30,BUENAVISTA,160201000,160201000.0,Buenavista,31.8
31,BUTUAN,160202000,160202000.0,Butuan City,26.6
32,CABADBARAN,160203000,160203000.0,Cabadbaran City,26.8
33,CARMEN,160204000,160204000.0,Carmen,36.4
34,JABONGA,160205000,160205000.0,Jabonga,42.3
35,KITCHARAO,160206000,160206000.0,Kitcharao,30.7
36,LAS NIEVES,160207000,160207000.0,Las Nieves,46.2
37,MAGALLANES,160208000,160208000.0,Magallanes,30.8
38,NASIPIT,160209000,160209000.0,Nasipit,26.7
39,REMEDIOS T. ROMUALDEZ,160212000,160212000.0,Remedios T. Romualdez,34.0
40,SANTIAGO,160210000,160210000.0,Santiago,39.5
