,Unnamed: 0,Facility Name,Ownership Major Classification,Ownership Sub-Classification for Government facilities,Region Name,Province,location,Hospital Licensing Status,Service Capability,Bed Capacity,lat,lon,City/Municipality Name,code,codenan
0,0,BALINDONG MUNICIPAL HOSPITAL,Government,National Government,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Lanao Del Sur,BALINDONG,With License,Level 1,10.0,7.916963999999999,124.200093,,153603000,0
1,1,BULUAN DISTRICT HOSPITAL,Government,National Government,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Maguindanao,BULUAN,With License,Level 1,100.0,6.723078399999999,124.7977409,,153803000,0
2,2,DATU HALUN SAKILAN MEMORIAL HOSPITAL,Government,National Government,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Tawi-Tawi,BONGAO,With License,Level 1,50.0,5.0258106,119.7764414,,157002000,0
3,3,"DR. JOSE MA. TORRES MEMORIAL FOUNDATION HOSPITAL, INC.",Private,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Basilan,LAMITAN,With License,Level 1,,6.646832000000002,122.1017,,150702000,0
4,4,DR. SERAPIO MONTAÑER JR. AL-HAJ MEMORIAL HOSPITAL,Government,National Government,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Lanao Del Sur,MALABANG,With License,Level 1,25.0,7.580801099999999,124.0811188,,153615000,0
5,5,MAGUINDANAO PROVINCIAL HOSPITAL,Government,National Government,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Maguindanao,DATU HOFFER AMPATUAN,With License,Level 2,299.0,6.851121000000001,124.430382,,153835000,0
6,6,"MINDALANO SPECIALIST HOSPITAL FOUNDATION, INC.",Private,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Lanao Del Sur,MARAWI,With License,Level 1,50.0,8.0082685,124.2881913,,153617000,0
7,7,PANGUTARAN DISTRICT HOSPITAL,Government,National Government,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Sulu,PANGUTARAN,With License,Level 1,25.0,6.2988034000000015,120.584355,,156608000,0
8,8,SMD GENERAL HOSPITAL,Private,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Lanao Del Sur,MARAWI,With License,Level 1,50.0,7.999663000000001,124.292243,,153617000,0
9,9,AMAI PAKPAK MEDICAL CENTER,Government,Department Of Health,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Lanao Del Sur,MARAWI,With License,Level 2,438.0,8.004511100000002,124.2840052,,153617000,0
10,10,EDIBORAH P. YAP MEMORIAL HOSPITAL,Government,National Government,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Basilan,LAMITAN,With License,Level 1,25.0,6.6529004,122.1354892,,150702000,0
11,11,WAO DISTRICT HOSPITAL,Government,National Government,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Lanao Del Sur,WAO,With License,Level 1,25.0,7.6383649999999985,124.7219068,,153630000,0
12,12,SIASI DISTRICT HOSPITAL,Government,National Government,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Sulu,SIASI,With License,Level 1,25.0,5.541874900000002,120.8178814,,156612000,0
13,13,SULU PROVINCIAL HOSPITAL,Government,National Government,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Sulu,JOLO,With License,Level 2,100.0,6.0466105,121.0016102,,156602000,0
