,Facility Name,Ownership Major Classification,Ownership Sub-Classification for Government facilities,Region Name,Province,location,Hospital Licensing Status,Service Capability,Bed Capacity,lat,lon,City/Municipality Name,code,codenan
0,BALINDONG MUNICIPAL HOSPITAL,Government,National Government,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Lanao Del Sur,BALINDONG,With License,Level 1,10.0,7.916963999999999,124.200093,,153603000,0
1,BULUAN DISTRICT HOSPITAL,Government,National Government,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Maguindanao,BULUAN,With License,Level 1,100.0,6.723078399999999,124.7977409,,153803000,0
2,DATU HALUN SAKILAN MEMORIAL HOSPITAL,Government,National Government,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Tawi-Tawi,BONGAO,With License,Level 1,50.0,5.0258106,119.77644140000001,,157002000,0
3,"DR. JOSE MA. TORRES MEMORIAL FOUNDATION HOSPITAL, INC.",Private,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Basilan,LAMITAN,With License,Level 1,,6.646832000000001,122.1017,,150702000,0
4,DR. SERAPIO MONTAÑER JR. AL-HAJ MEMORIAL HOSPITAL,Government,National Government,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Lanao Del Sur,MALABANG,With License,Level 1,25.0,7.5808010999999995,124.08111880000001,,153615000,0
5,MAGUINDANAO PROVINCIAL HOSPITAL,Government,National Government,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Maguindanao,DATU HOFFER AMPATUAN,With License,Level 2,299.0,6.851121000000001,124.43038200000001,,153835000,0
6,"MINDALANO SPECIALIST HOSPITAL FOUNDATION, INC.",Private,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Lanao Del Sur,MARAWI,With License,Level 1,50.0,8.0082685,124.2881913,,153617000,0
7,PANGUTARAN DISTRICT HOSPITAL,Government,National Government,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Sulu,PANGUTARAN,With License,Level 1,25.0,6.298803400000001,120.584355,,156608000,0
8,SMD GENERAL HOSPITAL,Private,,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Lanao Del Sur,MARAWI,With License,Level 1,50.0,7.999663000000001,124.292243,,153617000,0
9,AMAI PAKPAK MEDICAL CENTER,Government,Department Of Health,AUTONOMOUS REGION IN MUSLIM MINDANAO (ARMM),Lanao Del Sur,MARAWI,With License,Level 2,438.0,8.004511100000002,124.28400520000001,,153617000,0
